unix,date,trade,price,open,high,low,close,balance,position_size
1446332400,2015-11-01 00:00:00,BUY,315.005005,315.005005,327.471985,311.881012,325.431,99.0,0.31428072071426294
1446418800,2015-11-02 00:00:00,SELL,361.188995,325.941986,365.359985,323.209015,361.188995,112.3795902860337,0.31428072071426294
1446505200,2015-11-03 00:00:00,BUY,361.872986,361.872986,417.899994,357.647003,403.416992,111.25579438317337,0.30744432076279204
1446591600,2015-11-04 00:00:00,SELL,411.562988,403.664001,495.562012,380.548004,411.562988,125.26737626379749,0.30744432076279204
1446678000,2015-11-05 00:00:00,BUY,408.076996,408.076996,447.561005,374.580994,386.354004,124.01470250115952,0.30390025342462457
1449615600,2015-12-09 00:00:00,SELL,417.562988,414.44101,423.119995,406.290985,417.562988,125.62852289520404,0.30390025342462457
1449702000,2015-12-10 00:00:00,BUY,417.988007,417.988007,419.509003,411.548004,415.479004,124.372237666252,0.2975497755519383
1449788400,2015-12-11 00:00:00,SELL,451.937988,415.281006,451.937988,415.281006,451.937988,133.12930642386664,0.2975497755519383
1449874800,2015-12-12 00:00:00,BUY,452.334991,452.334991,469.102997,410.740997,434.997009,131.79801335962796,0.2913725800169812
1450134000,2015-12-15 00:00:00,SELL,465.321014,443.877991,465.321014,443.877991,465.321014,134.22596654144485,0.2913725800169812
1450220400,2015-12-16 00:00:00,BUY,465.208008,465.208008,465.208008,443.851013,454.93399,132.8837068760304,0.2856436359453864
