unix,date,trade,price,open,high,low,close,position_size,balance
1651788000,2022-05-06 00:00:00,COVER,36040.92188,36573.18359,36624.35938,35482.13281,36040.92188,0.0036102549484441815,154.94154483401783
1651874400,2022-05-07 00:00:00,SHORT,36042.50391,36042.50391,36129.92578,34940.82422,35501.95313,0.004271111275132767,153.94154483401783
1651960800,2022-05-08 00:00:00,COVER,34059.26563,35502.94141,35502.94141,33878.96484,34059.26563,0.004271111275132767,160.78805445087073
1652047200,2022-05-09 00:00:00,SHORT,34060.01563,34060.01563,34222.07422,30296.95313,30296.95313,0.004691367619635785,159.78805445087073
1652133600,2022-05-10 00:00:00,COVER,31022.90625,30273.6543,32596.30859,29944.80273,31022.90625,0.004691367619635785,172.29588854295991
1652220000,2022-05-11 00:00:00,SHORT,31016.18359,31016.18359,32013.40234,28170.41406,28936.35547,0.005522790643984575,171.29588854295991
1652306400,2022-05-12 00:00:00,COVER,29047.75195,28936.73438,30032.43945,26350.49023,29047.75195,0.005522790643984575,180.34545314379838
1652824800,2022-05-18 00:00:00,SHORT,30424.47852,30424.47852,30618.7168,28720.27148,28720.27148,0.005894774926903114,179.34545314379838
1653602400,2022-05-27 00:00:00,COVER,28627.57422,29251.14063,29346.94336,28326.61328,28627.57422,0.005894774926903114,188.03842156190794
1654725600,2022-06-09 00:00:00,SHORT,30215.2793,30215.2793,30609.31055,30020.26563,30111.99805,0.006190193368886316,187.03842156190794
1654898400,2022-06-11 00:00:00,COVER,28360.81055,29084.66602,29401.91602,28236.21289,28360.81055,0.006190193368886316,196.5327623037552
1654984800,2022-06-12 00:00:00,SHORT,28373.51367,28373.51367,28502.68555,26762.64844,26762.64844,0.006891383442245177,195.5327623037552
1655071200,2022-06-13 00:00:00,COVER,22487.38867,26737.57813,26795.58984,22141.25781,22487.38867,0.006891383442245177,233.73534360106316
1655157600,2022-06-14 00:00:00,SHORT,22487.98633,22487.98633,23018.95117,20950.81836,22206.79297,0.010349318973508251,232.73534360106316
1655330400,2022-06-16 00:00:00,COVER,22862.786102166665,22576.30469,22868.92188,20265.22656,22862.786102166665,0.010349318973508251,226.567856995635
1655503200,2022-06-18 00:00:00,SHORT,20473.42578,20473.42578,20736.04102,17708.62305,19017.64258,0.011017592239789533,225.567856995635
1655676000,2022-06-20 00:00:00,COVER,20814.649543000003,20553.37109,20913.32227,19689.16992,20814.649543000003,0.011017592239789533,219.59030878525064
1656280800,2022-06-27 00:00:00,SHORT,21028.23828,21028.23828,21478.08984,20620.19922,20735.47852,0.010395084261202819,218.59030878525064
1656540000,2022-06-30 00:00:00,COVER,19784.72656,20108.3125,20141.16016,18729.65625,19784.72656,0.010395084261202819,229.20155071549945
1656626400,2022-07-01 00:00:00,SHORT,19820.4707,19820.4707,20632.67188,19073.70898,19269.36719,0.011513427413986664,228.20155071549945
1656885600,2022-07-04 00:00:00,COVER,20150.811878333334,19297.31445,20258.74805,19063.06641,20150.811878333334,0.011513427413986664,222.1542096215387
1657404000,2022-07-10 00:00:00,SHORT,21591.08008,21591.08008,21591.08008,20727.12305,20860.44922,0.010242850695848038,221.1542096215387
1657490400,2022-07-11 00:00:00,COVER,19970.55664,20856.35352,20856.35352,19924.53906,19970.55664,0.010242850695848038,235.37545937391496
1657576800,2022-07-12 00:00:00,SHORT,19970.47461,19970.47461,20043.44531,19308.53125,19323.91406,0.0117360986131273,234.37545937391496
1657749600,2022-07-14 00:00:00,COVER,20303.3158535,20211.4668,20789.89453,19689.25781,20303.3158535,0.0117360986131273,228.16450970050624
1658440800,2022-07-22 00:00:00,SHORT,23163.75195,23163.75195,23671.92773,22603.41602,22714.97852,0.009806896144927257,227.16450970050624
1658700000,2022-07-25 00:00:00,COVER,21361.70117,22607.15625,22649.12109,21361.64258,21361.70117,0.009806896144927257,242.3886642023729
1658786400,2022-07-26 00:00:00,SHORT,21361.12109,21361.12109,21361.12109,20776.81641,21239.75391,0.011300374319556506,241.3886642023729
1658872800,2022-07-27 00:00:00,COVER,21717.139774833333,21244.16992,22986.5293,21070.80664,21717.139774833333,0.011300374319556506,234.99186460101004
1659218400,2022-07-31 00:00:00,SHORT,23652.07031,23652.07031,24121.64258,23275.70313,23336.89648,0.009893081727483249,233.99186460101004
1659909600,2022-08-08 00:00:00,COVER,24046.271481833333,23179.52734,24203.68945,23176.54688,24046.271481833333,0.009893081727483249,227.79108018908326
1660514400,2022-08-15 00:00:00,SHORT,24318.31641,24318.31641,25135.58984,23839.77539,24136.97266,0.009325936728737681,226.79108018908326
1660860000,2022-08-19 00:00:00,COVER,20877.55273,23213.3125,23213.3125,20868.84766,20877.55273,0.009325936728737681,256.2906303216289
