date,time,open,high,low,close,volume,position
2021-10-01,00:00,43816.74219,48436.01172,43320.02344,48116.94141,42850641582.0,0
2021-10-02,00:00,48137.46875,48282.0625,47465.49609,47711.48828,30614346492.0,0
2021-10-03,00:00,47680.02734,49130.69141,47157.28906,48199.95313,26638115879.0,0
2021-10-04,00:00,48208.90625,49456.77734,47045.00391,49112.90234,33383173002.0,0
2021-10-05,00:00,49174.96094,51839.98438,49072.83984,51514.8125,35873904236.0,0
2021-10-06,00:00,51486.66406,55568.46484,50488.19141,55361.44922,49034730168.0,0
2021-10-07,00:00,55338.625,55338.625,53525.46875,53805.98438,36807860413.0,0
2021-10-08,00:00,53802.14453,55922.98047,53688.05469,53967.84766,34800873924.0,0
2021-10-09,00:00,53929.78125,55397.94531,53735.14453,54968.22266,32491211414.0,0
2021-10-10,00:00,54952.82031,56401.30469,54264.25781,54771.57813,39527792364.0,0
2021-10-11,00:00,54734.125,57793.03906,54519.76563,57484.78906,42637331698.0,0
2021-10-12,00:00,57526.83203,57627.87891,54477.97266,56041.05859,41083758949.0,0
2021-10-13,00:00,56038.25781,57688.66016,54370.97266,57401.09766,41684252783.0,0
2021-10-14,00:00,57372.83203,58478.73438,56957.07422,57321.52344,36615791366.0,0
2021-10-15,00:00,57345.90234,62757.12891,56868.14453,61593.94922,51780081801.0,0
2021-10-16,00:00,61609.52734,62274.47656,60206.12109,60892.17969,34250964237.0,0
2021-10-17,00:00,60887.65234,61645.52344,59164.46875,61553.61719,29032367511.0,0
2021-10-18,00:00,61548.80469,62614.66016,60012.75781,62026.07813,38055562075.0,0
2021-10-19,00:00,62043.16406,64434.53516,61622.93359,64261.99219,40471196346.0,0
2021-10-20,00:00,64284.58594,66930.39063,63610.67578,65992.83594,40788955582.0,0
2021-10-21,00:00,66002.23438,66600.54688,62117.41016,62210.17188,45908121370.0,0
2021-10-22,00:00,62237.89063,63715.02344,60122.79688,60692.26563,38434082775.0,0
2021-10-23,00:00,60694.62891,61743.87891,59826.52344,61393.61719,26882546034.0,0
2021-10-24,00:00,61368.34375,61505.80469,59643.34375,60930.83594,27316183882.0,0
2021-10-25,00:00,60893.92578,63729.32422,60691.80078,63039.82422,31064911614.0,0
2021-10-26,00:00,63032.76172,63229.02734,59991.16016,60363.79297,34878965587.0,0
2021-10-27,00:00,60352.0,61435.18359,58208.1875,58482.38672,43657076893.0,0
2021-10-28,00:00,58470.73047,62128.63281,58206.91797,60622.13672,45257083247.0,0
2021-10-29,00:00,60624.87109,62927.60938,60329.96484,62227.96484,36856881767.0,0
2021-10-30,00:00,62239.36328,62330.14453,60918.38672,61888.83203,32157938616.0,0
2021-10-31,00:00,61850.48828,62406.17188,60074.32813,61318.95703,32241199927.0,0
2021-11-01,00:00,61320.44922,62419.00391,59695.18359,61004.40625,36150572843.0,0
