date,time,open,high,low,close,volume
12/05/2021,00:00,49201.519531,49768.148438,47857.496094,49368.847656,37198201161
12/06/2021,00:00,49413.480469,50929.519531,47281.035156,50582.625,37707308001
12/07/2021,00:00,50581.828125,51934.78125,50175.808594,50700.085938,33676814852
12/08/2021,00:00,50667.648438,51171.375,48765.988281,50504.796875,28479699446
12/09/2021,00:00,50450.082031,50797.164063,47358.351563,47672.121094,29603577251
12/10/2021,00:00,47642.144531,50015.253906,47023.699219,47243.304688,30966005122
12/11/2021,00:00,47264.632813,49458.210938,46942.347656,49362.507813,25775869261
12/12/2021,00:00,49354.855469,50724.867188,48725.851563,50098.335938,21939223599
12/13/2021,00:00,50114.742188,50205.0,45894.847656,46737.480469,32166727776
12/14/2021,00:00,46709.824219,48431.398438,46424.496094,46612.632813,34638619079
12/15/2021,00:00,48379.753906,49473.957031,46671.964844,48896.722656,36541828520
12/16/2021,00:00,48900.464844,49425.574219,47529.878906,47665.425781,27268150947
12/17/2021,00:00,47653.730469,48004.894531,45618.214844,46202.144531,32902725329
12/18/2021,00:00,46219.253906,47313.828125,45598.441406,46848.777344,26098292690
12/19/2021,00:00,46853.867188,48089.664063,46502.953125,46707.015625,25154053861
12/20/2021,00:00,46707.0625,47401.71875,45579.808594,46880.277344,30961902129
12/21/2021,00:00,46886.078125,49300.917969,46698.773438,48936.613281,27055803928
12/22/2021,00:00,48937.097656,49544.796875,48450.941406,48628.511719,24447979559
12/23/2021,00:00,48626.34375,51332.339844,48065.835938,50784.539063,28223878108
12/24/2021,00:00,50806.050781,51814.027344,50514.496094,50822.195313,24367912228
12/25/2021,00:00,50854.917969,51176.597656,50236.707031,50429.859375,19030650914
12/26/2021,00:00,50428.691406,51196.378906,49623.105469,50809.515625,20964372926
12/27/2021,00:00,50802.609375,51956.328125,50499.46875,50640.417969,24324345758
12/28/2021,00:00,50679.859375,50679.859375,47414.210938,47588.855469,33430376883
12/29/2021,00:00,47623.871094,48119.742188,46201.496094,46444.710938,30049226299
12/30/2021,00:00,46490.605469,47879.964844,46060.3125,47178.125,26686491018
12/31/2021,00:00,47169.371094,48472.527344,45819.953125,46306.445313,36974172400
01/01/2022,00:00,46311.746094,47827.3125,46288.484375,47686.8125,24582667004
01/02/2022,00:00,47680.925781,47881.40625,46856.9375,47345.21875,27951569547
01/03/2022,00:00,47343.542969,47510.726563,45835.964844,46458.117188,33071628362
01/04/2022,00:00,46458.851563,47406.546875,45752.464844,45897.574219,42494677905
01/05/2022,00:00,45899.359375,46929.046875,42798.222656,43569.003906,36851084859
01/06/2022,00:00,43565.511719,43748.71875,42645.539063,43160.929688,30208048289
01/07/2022,00:00,43153.570313,43153.570313,41077.445313,41557.902344,84196607520
01/08/2022,00:00,41561.464844,42228.941406,40672.277344,41733.941406,28066355845
01/09/2022,00:00,41734.726563,42663.949219,41338.160156,41911.601563,21294384372
01/10/2022,00:00,41910.230469,42199.484375,39796.570313,41821.261719,32104232331
01/11/2022,00:00,41819.507813,43001.15625,41407.753906,42735.855469,26327648900
