unix,date,trade,price,open,high,low,close,position_size,balance
1448578800,2015-11-27 00:00:00,LONG,351.860992,351.860992,363.588989,347.869995,358.041992,0.2813611120609812,99.0
1448751600,2015-11-29 00:00:00,CLOSE,371.294006,357.471985,371.938995,355.665985,371.294006,0.2813611120609812,103.42301748543926
1448838000,2015-11-30 00:00:00,LONG,371.437012,371.437012,382.363007,370.382996,377.321014,0.27574801157790724,102.42301748543926
1449442800,2015-12-07 00:00:00,CLOSE,395.536011,389.977997,399.968994,385.411011,395.536011,0.27574801157790724,107.97758585530016
1449529200,2015-12-08 00:00:00,LONG,395.753998,395.753998,415.562988,389.950012,415.562988,0.2703133421163825,106.97758585530016
1449615600,2015-12-09 00:00:00,CLOSE,417.562988,414.44101,423.119995,406.290985,417.562988,0.2703133421163825,111.7441183620791
1449702000,2015-12-10 00:00:00,LONG,417.988007,417.988007,419.509003,411.548004,415.479004,0.264945683865229,110.7441183620791
1449788400,2015-12-11 00:00:00,CLOSE,451.937988,415.281006,451.937988,415.281006,451.937988,0.264945683865229,118.5416291023823
1449874800,2015-12-12 00:00:00,LONG,452.334991,452.334991,469.102997,410.740997,434.997009,0.25985526532565395,117.5416291023823
1450479600,2015-12-19 00:00:00,CLOSE,462.321991,463.552002,465.580994,456.765015,462.321991,0.25985526532565395,118.93543560081771
1450566000,2015-12-20 00:00:00,LONG,462.234009,462.234009,462.644989,434.338013,442.684998,0.25514227275478923,117.93543560081771
1451170800,2015-12-27 00:00:00,CLOSE,422.822998,416.514008,424.006989,408.882996,422.822998,0.25514227275478923,106.80122047588655
1452294000,2016-01-09 00:00:00,LONG,453.382996,453.382996,454.640015,446.889008,447.610992,0.2333594806362931,105.80122047588655
1452898800,2016-01-16 00:00:00,CLOSE,387.536011,365.072998,390.557007,354.914001,387.536011,0.2333594806362931,89.53085023227256
1455404400,2016-02-14 00:00:00,LONG,392.932007,392.932007,407.230011,392.932007,407.230011,0.22530831964592937,88.53085023227256
1455663600,2016-02-17 00:00:00,CLOSE,416.321991,407.656006,421.166992,406.783997,416.321991,0.22530831964592937,92.86280014161916
1455750000,2016-02-18 00:00:00,LONG,416.571991,416.571991,425.996002,415.638,422.372986,0.2205208274351291,91.86280014161916
1456009200,2016-02-21 00:00:00,CLOSE,438.798004,437.77301,448.04599,429.076996,438.798004,0.2205208274351291,95.79645792977345
1456095600,2016-02-22 00:00:00,LONG,438.989014,438.989014,439.045013,432.916992,437.747986,0.21594266577653684,94.79645792977345
1456700400,2016-02-29 00:00:00,CLOSE,437.696991,433.437988,441.506989,431.692993,437.696991,0.21594266577653684,93.57228048851978
1456786800,2016-03-01 00:00:00,LONG,437.916992,437.916992,439.653015,432.319,435.122986,0.21139230077767748,92.57228048851978
1457391600,2016-03-08 00:00:00,CLOSE,413.971985,414.464996,416.243011,411.093994,413.971985,0.21139230077767748,86.63538546298567
1459033200,2016-03-27 00:00:00,LONG,418.140015,418.140015,428.796997,417.710999,426.765015,0.20480074231351827,85.63538546298567
