unix,date,trade,price,open,high,low,close,balance
1633557600,2021-10-07,LONG,55338.625,55338.625,55338.625,53525.46875,53805.984375,99.0
1633903200,2021-10-11,CLOSE,57484.789063,54734.125,57793.039063,54519.765625,57484.789063,101.81106191316877
1633989600,2021-10-12,LONG,57526.832031,57526.832031,57627.878906,54477.972656,56041.058594,100.81106191316877
1634248800,2021-10-15,CLOSE,61593.949219,57345.902344,62757.128906,56868.144531,61593.949219,106.8589681872039
1634335200,2021-10-16,LONG,61609.527344,61609.527344,62274.476563,60206.121094,60892.179688,105.8589681872039
1634594400,2021-10-19,CLOSE,64261.992188,62043.164063,64434.535156,61622.933594,64261.992188,109.31233195810181
1634680800,2021-10-20,LONG,64284.585938,64284.585938,66930.390625,63610.675781,65992.835938,108.31233195810181
1636326000,2021-11-08,CLOSE,67566.828125,63344.066406,67673.742188,63344.066406,67566.828125,112.70411723653872
1636412400,2021-11-09,LONG,67549.734375,67549.734375,68530.335938,66382.0625,66971.828125,111.70411723653872
