unix,data,operation,price,open,high,low,close
1639177200,2021-12-11,HOLD,49362.507813,47264.632813,49458.210938,46942.347656,49362.507813
1639263600,2021-12-12,HOLD,50098.335938,49354.855469,50724.867188,48725.851563,50098.335938
1639350000,2021-12-13,HOLD,46737.480469,50114.742188,50205.0,45894.847656,46737.480469
1639436400,2021-12-14,HOLD,46612.632813,46709.824219,48431.398438,46424.496094,46612.632813
1639522800,2021-12-15,HOLD,48896.722656,48379.753906,49473.957031,46671.964844,48896.722656
1639609200,2021-12-16,HOLD,47665.425781,48900.464844,49425.574219,47529.878906,47665.425781
1639695600,2021-12-17,HOLD,46202.144531,47653.730469,48004.894531,45618.214844,46202.144531
1639782000,2021-12-18,HOLD,46848.777344,46219.253906,47313.828125,45598.441406,46848.777344
1639868400,2021-12-19,HOLD,46707.015625,46853.867188,48089.664063,46502.953125,46707.015625
1639954800,2021-12-20,HOLD,46880.277344,46707.0625,47401.71875,45579.808594,46880.277344
1640041200,2021-12-21,HOLD,48936.613281,46886.078125,49300.917969,46698.773438,48936.613281
1640127600,2021-12-22,HOLD,48628.511719,48937.097656,49544.796875,48450.941406,48628.511719
1640214000,2021-12-23,HOLD,50784.539063,48626.34375,51332.339844,48065.835938,50784.539063
1640300400,2021-12-24,HOLD,50822.195313,50806.050781,51814.027344,50514.496094,50822.195313
1640386800,2021-12-25,HOLD,50429.859375,50854.917969,51176.597656,50236.707031,50429.859375
1640473200,2021-12-26,HOLD,50809.515625,50428.691406,51196.378906,49623.105469,50809.515625
1640559600,2021-12-27,HOLD,50640.417969,50802.609375,51956.328125,50499.46875,50640.417969
1640646000,2021-12-28,HOLD,47588.855469,50679.859375,50679.859375,47414.210938,47588.855469
1640732400,2021-12-29,HOLD,46444.710938,47623.871094,48119.742188,46201.496094,46444.710938
1640818800,2021-12-30,HOLD,47178.125,46490.605469,47879.964844,46060.3125,47178.125
1640905200,2021-12-31,HOLD,46306.445313,47169.371094,48472.527344,45819.953125,46306.445313
1640991600,2022-01-01,HOLD,47686.8125,46311.746094,47827.3125,46288.484375,47686.8125
1641078000,2022-01-02,HOLD,47345.21875,47680.925781,47881.40625,46856.9375,47345.21875
1641164400,2022-01-03,HOLD,46458.117188,47343.542969,47510.726563,45835.964844,46458.117188
1641250800,2022-01-04,HOLD,45897.574219,46458.851563,47406.546875,45752.464844,45897.574219
1641337200,2022-01-05,HOLD,43569.003906,45899.359375,46929.046875,42798.222656,43569.003906
1641423600,2022-01-06,HOLD,43160.929688,43565.511719,43748.71875,42645.539063,43160.929688
1641510000,2022-01-07,HOLD,41557.902344,43153.570313,43153.570313,41077.445313,41557.902344
1641596400,2022-01-08,HOLD,41733.941406,41561.464844,42228.941406,40672.277344,41733.941406
1641682800,2022-01-09,HOLD,41911.601563,41734.726563,42663.949219,41338.160156,41911.601563
1641769200,2022-01-10,HOLD,41821.261719,41910.230469,42199.484375,39796.570313,41821.261719
1641855600,2022-01-11,HOLD,42735.855469,41819.507813,43001.15625,41407.753906,42735.855469
1641942000,2022-01-12,HOLD,43949.101563,42742.179688,44135.367188,42528.988281,43949.101563
1642028400,2022-01-13,HOLD,42591.570313,43946.742188,44278.421875,42447.042969,42591.570313
1642114800,2022-01-14,HOLD,43099.699219,42598.871094,43346.6875,41982.617188,43099.699219
1642201200,2022-01-15,HOLD,43177.398438,43101.898438,43724.671875,42669.035156,43177.398438
1642287600,2022-01-16,HOLD,43113.878906,43172.039063,43436.808594,42691.023438,43113.878906
1642374000,2022-01-17,HOLD,42250.550781,43118.121094,43179.390625,41680.320313,42250.550781
1642460400,2022-01-18,HOLD,42375.632813,42250.074219,42534.402344,41392.214844,42375.632813
1642546800,2022-01-19,HOLD,41744.328125,42374.039063,42478.304688,41242.914063,41744.328125
1642633200,2022-01-20,HOLD,40680.417969,41744.027344,43413.023438,40672.824219,40680.417969
1642719600,2022-01-21,HOLD,36457.316406,40699.605469,41060.527344,35791.425781,36457.316406
1642806000,2022-01-22,HOLD,35030.25,36471.589844,36688.8125,34349.25,35030.25
1642892400,2022-01-23,HOLD,36276.804688,35047.359375,36433.3125,34784.96875,36276.804688
1642978800,2022-01-24,HOLD,36654.328125,36275.734375,37247.519531,33184.058594,36654.328125
1643065200,2022-01-25,HOLD,36954.003906,36654.804688,37444.570313,35779.429688,36954.003906
1643151600,2022-01-26,HOLD,36852.121094,36950.515625,38825.410156,36374.90625,36852.121094
1643238000,2022-01-27,HOLD,37138.234375,36841.878906,37148.324219,35629.28125,37138.234375
1643324400,2022-01-28,HOLD,37784.332031,37128.445313,37952.878906,36211.109375,37784.332031
1643410800,2022-01-29,HOLD,38138.179688,37780.714844,38576.261719,37406.472656,38138.179688
1643497200,2022-01-30,HOLD,37917.601563,38151.917969,38266.339844,37437.710938,37917.601563
1643583600,2022-01-31,HOLD,38483.125,37920.28125,38647.261719,36733.574219,38483.125
1643670000,2022-02-01,HOLD,38743.273438,38481.765625,39115.132813,38113.664063,38743.273438
1643756400,2022-02-02,HOLD,36952.984375,38743.714844,38834.617188,36832.730469,36952.984375
1643842800,2022-02-03,HOLD,37154.601563,36944.804688,37154.601563,36375.539063,37154.601563
1643929200,2022-02-04,HOLD,41500.875,37149.265625,41527.785156,37093.628906,41500.875
1644015600,2022-02-05,HOLD,41441.164063,41501.480469,41847.164063,41038.097656,41441.164063
1644102000,2022-02-06,HOLD,42412.433594,41441.121094,42500.785156,41244.90625,42412.433594
1644188400,2022-02-07,HOLD,43840.285156,42406.78125,44401.863281,41748.15625,43840.285156
1644274800,2022-02-08,HOLD,44118.445313,43854.652344,45293.867188,42807.835938,44118.445313
1644361200,2022-02-09,HOLD,44338.796875,44096.703125,44727.800781,43232.96875,44338.796875
1644447600,2022-02-10,HOLD,43565.113281,44347.800781,45661.171875,43402.808594,43565.113281
1644534000,2022-02-11,HOLD,42407.9375,43571.128906,43810.832031,42114.539063,42407.9375
1644620400,2022-02-12,HOLD,42244.46875,42412.300781,42992.550781,41852.574219,42244.46875
1644706800,2022-02-13,HOLD,42197.515625,42236.566406,42693.054688,41950.941406,42197.515625
1644793200,2022-02-14,HOLD,42586.917969,42157.398438,42775.777344,41681.957031,42586.917969
1644879600,2022-02-15,HOLD,44575.203125,42586.464844,44667.21875,42491.035156,44575.203125
1644966000,2022-02-16,HOLD,43961.859375,44578.277344,44578.277344,43456.691406,43961.859375
1645052400,2022-02-17,HOLD,40538.011719,43937.070313,44132.972656,40249.371094,40538.011719
1645138800,2022-02-18,HOLD,40030.976563,40552.132813,40929.152344,39637.617188,40030.976563
1645225200,2022-02-19,HOLD,40122.15625,40026.023438,40418.878906,39713.058594,40122.15625
1645311600,2022-02-20,HOLD,38431.378906,40118.101563,40119.890625,38112.8125,38431.378906
1645398000,2022-02-21,HOLD,37075.28125,38423.210938,39394.4375,36950.476563,37075.28125
1645484400,2022-02-22,HOLD,38286.027344,37068.769531,38359.855469,36488.933594,38286.027344
1645570800,2022-02-23,HOLD,37296.570313,38285.28125,39122.394531,37201.816406,37296.570313
1645657200,2022-02-24,HOLD,38332.609375,37278.566406,38968.839844,34459.21875,38332.609375
1645743600,2022-02-25,HOLD,39214.21875,38333.746094,39630.324219,38111.34375,39214.21875
1645830000,2022-02-26,HOLD,39105.148438,39213.082031,40005.347656,38702.535156,39105.148438
1645916400,2022-02-27,HOLD,37709.785156,39098.699219,39778.941406,37268.976563,37709.785156
1646002800,2022-02-28,HOLD,43193.234375,37706.0,43760.457031,37518.214844,43193.234375
1646089200,2022-03-01,HOLD,44354.636719,43194.503906,44793.601563,42952.585938,44354.636719
1646175600,2022-03-02,HOLD,43924.117188,44357.617188,45077.578125,43432.851563,43924.117188
1646262000,2022-03-03,HOLD,42451.789063,43925.195313,44021.578125,41914.75,42451.789063
1646348400,2022-03-04,HOLD,39137.605469,42458.140625,42479.613281,38805.847656,39137.605469
1646434800,2022-03-05,HOLD,39400.585938,39148.449219,39566.335938,38777.035156,39400.585938
1646521200,2022-03-06,HOLD,38419.984375,39404.199219,39640.175781,38211.648438,38419.984375
1646607600,2022-03-07,HOLD,38062.039063,38429.304688,39430.226563,37260.203125,38062.039063
1646694000,2022-03-08,HOLD,38737.269531,38059.902344,39304.441406,37957.386719,38737.269531
1646780400,2022-03-09,HOLD,41982.925781,38742.816406,42465.671875,38706.09375,41982.925781
1646866800,2022-03-10,HOLD,39437.460938,41974.070313,42004.726563,38832.941406,39437.460938
1646953200,2022-03-11,HOLD,38794.972656,39439.96875,40081.679688,38347.433594,38794.972656
1647039600,2022-03-12,HOLD,38904.011719,38794.464844,39308.597656,38772.535156,38904.011719
1647126000,2022-03-13,HOLD,37849.664063,38884.726563,39209.351563,37728.144531,37849.664063
1647212400,2022-03-14,HOLD,39666.753906,37846.316406,39742.5,37680.734375,39666.753906
1647298800,2022-03-15,HOLD,39338.785156,39664.25,39794.628906,38310.210938,39338.785156
1647385200,2022-03-16,HOLD,41143.929688,39335.570313,41465.453125,39022.347656,41143.929688
1647471600,2022-03-17,HOLD,40951.378906,41140.84375,41287.535156,40662.871094,40951.378906
1647558000,2022-03-18,HOLD,41801.15625,40944.839844,42195.746094,40302.398438,41801.15625
1647644400,2022-03-19,HOLD,42190.652344,41794.648438,42316.554688,41602.667969,42190.652344
1647730800,2022-03-20,HOLD,41247.824219,42191.40625,42241.164063,41004.757813,41247.824219
1647817200,2022-03-21,HOLD,41077.996094,41246.132813,41454.410156,40668.042969,41077.996094
1647903600,2022-03-22,HOLD,42358.808594,41074.105469,43124.707031,40948.28125,42358.808594
1647990000,2022-03-23,HOLD,42892.957031,42364.378906,42893.507813,41877.507813,42892.957031
1648076400,2022-03-24,HOLD,43960.933594,42886.652344,44131.855469,42726.164063,43960.933594
1648162800,2022-03-25,HOLD,44348.730469,43964.546875,44999.492188,43706.285156,44348.730469
1648249200,2022-03-26,HOLD,44500.828125,44349.859375,44735.996094,44166.273438,44500.828125
1648335600,2022-03-27,HOLD,46820.492188,44505.355469,46827.546875,44437.292969,46820.492188
1648418400,2022-03-28,HOLD,47128.003906,46821.851563,48086.835938,46690.203125,47128.003906
1648504800,2022-03-29,HOLD,47465.730469,47100.4375,48022.289063,47100.4375,47465.730469
1648591200,2022-03-30,HOLD,47062.664063,47456.898438,47655.148438,46746.210938,47062.664063
1648677600,2022-03-31,HOLD,45538.675781,47062.148438,47512.027344,45390.539063,45538.675781
1648764000,2022-04-01,HOLD,46281.644531,45554.164063,46616.242188,44403.140625,46281.644531
1648850400,2022-04-02,HOLD,45868.949219,46285.5,47028.28125,45782.511719,45868.949219
1648936800,2022-04-03,HOLD,46453.566406,45859.128906,47313.476563,45634.105469,46453.566406
1649023200,2022-04-04,HOLD,46622.675781,46445.273438,46791.089844,45235.816406,46622.675781
1649109600,2022-04-05,HOLD,45555.992188,46624.507813,47106.140625,45544.808594,45555.992188
1649196000,2022-04-06,HOLD,43206.738281,45544.355469,45544.355469,43193.953125,43206.738281
1649282400,2022-04-07,HOLD,43503.847656,43207.5,43860.699219,42899.90625,43503.847656
1649368800,2022-04-08,HOLD,42287.664063,43505.136719,43903.019531,42183.289063,42287.664063
1649455200,2022-04-09,HOLD,42782.136719,42282.078125,42786.816406,42183.253906,42782.136719
1649541600,2022-04-10,HOLD,42207.671875,42781.089844,43376.378906,42021.207031,42207.671875
1649628000,2022-04-11,HOLD,39521.902344,42201.039063,42424.589844,39373.058594,39521.902344
1649714400,2022-04-12,HOLD,40127.183594,39533.714844,40617.585938,39388.328125,40127.183594
