unix,data,operation,price,open,high,low,close
1446332400,2015-11-01,BUY,315.005005,315.005005,327.471985,311.881012,325.431
1446332400,2015-11-01,SSELL,325.431,315.005005,327.471985,311.881012,325.431
1446418800,2015-11-02,BUY,325.941986,325.941986,365.359985,323.209015,361.188995
1446418800,2015-11-02,SSELL,361.188995,325.941986,365.359985,323.209015,361.188995
1446505200,2015-11-03,BUY,361.872986,361.872986,417.899994,357.647003,403.416992
1446505200,2015-11-03,SSELL,403.416992,361.872986,417.899994,357.647003,403.416992
1446591600,2015-11-04,BUY,403.664001,403.664001,495.562012,380.548004,411.562988
1446591600,2015-11-04,SSELL,411.562988,403.664001,495.562012,380.548004,411.562988
1446678000,2015-11-05,BUY,408.076996,408.076996,447.561005,374.580994,386.354004
1446678000,2015-11-05,HOLD,386.354004,408.076996,447.561005,374.580994,386.354004
1446764400,2015-11-06,HOLD,374.470001,388.046997,395.835999,354.024994,374.470001
1446850800,2015-11-07,HOLD,386.481995,374.269012,390.585999,372.433014,386.481995
1446937200,2015-11-08,HOLD,373.368011,384.278015,389.894989,368.700012,373.368011
1447023600,2015-11-09,HOLD,380.256989,374.324005,385.278015,362.894989,380.256989
1447110000,2015-11-10,HOLD,336.819,379.984009,381.386993,329.108002,336.819
1447196400,2015-11-11,HOLD,311.084015,339.820007,340.584991,300.997009,311.084015
1447282800,2015-11-12,HOLD,338.152008,314.07901,345.080994,313.355988,338.152008
1447369200,2015-11-13,HOLD,336.752991,338.497986,340.914001,326.075012,336.752991
1447455600,2015-11-14,HOLD,332.906006,336.623993,338.181,329.970001,332.906006
1447542000,2015-11-15,HOLD,320.165985,333.050995,334.661987,317.48999,320.165985
1447628400,2015-11-16,HOLD,330.751007,319.734985,331.626007,315.904999,330.751007
1447714800,2015-11-17,HOLD,335.093994,330.362,338.350006,329.614014,335.093994
1447801200,2015-11-18,HOLD,334.589996,334.592987,336.531006,330.640015,334.589996
1447887600,2015-11-19,HOLD,326.148987,334.678986,335.334015,325.27301,326.148987
1447974000,2015-11-20,HOLD,322.022003,326.411011,326.472992,312.21701,322.022003
1448060400,2015-11-21,HOLD,326.927002,322.09201,328.158997,319.595001,326.927002
1448146800,2015-11-22,HOLD,324.536011,326.975006,327.01001,321.259003,324.536011
1448233200,2015-11-23,HOLD,323.04599,324.350006,325.118011,321.290009,323.04599
1448319600,2015-11-24,HOLD,320.04599,323.014008,323.058014,318.118011,320.04599
1448406000,2015-11-25,HOLD,328.205994,320.045013,329.134003,316.769989,328.205994
1448492400,2015-11-26,HOLD,352.68399,328.303009,366.756989,328.229004,352.68399
