unix,data,operation,price,open,high,low,close
1635026400,2021-10-24,HOLD,60930.835938,61368.34375,61505.804688,59643.34375,60930.835938
1635112800,2021-10-25,HOLD,63039.824219,60893.925781,63729.324219,60691.800781,63039.824219
1635199200,2021-10-26,HOLD,60363.792969,63032.761719,63229.027344,59991.160156,60363.792969
1635285600,2021-10-27,HOLD,58482.386719,60352.0,61435.183594,58208.1875,58482.386719
1635372000,2021-10-28,HOLD,60622.136719,58470.730469,62128.632813,58206.917969,60622.136719
1635458400,2021-10-29,HOLD,62227.964844,60624.871094,62927.609375,60329.964844,62227.964844
1635544800,2021-10-30,HOLD,61888.832031,62239.363281,62330.144531,60918.386719,61888.832031
1635631200,2021-10-31,HOLD,61318.957031,61850.488281,62406.171875,60074.328125,61318.957031
1635721200,2021-11-01,HOLD,61004.40625,61320.449219,62419.003906,59695.183594,61004.40625
1635807600,2021-11-02,HOLD,63226.402344,60963.253906,64242.792969,60673.054688,63226.402344
1635894000,2021-11-03,HOLD,62970.046875,63254.335938,63516.9375,61184.238281,62970.046875
1635980400,2021-11-04,HOLD,61452.230469,62941.804688,63123.289063,60799.664063,61452.230469
1636066800,2021-11-05,HOLD,61125.675781,61460.078125,62541.46875,60844.609375,61125.675781
1636153200,2021-11-06,HOLD,61527.480469,61068.875,61590.683594,60163.78125,61527.480469
1636239600,2021-11-07,HOLD,63326.988281,61554.921875,63326.988281,61432.488281,63326.988281
1636326000,2021-11-08,SSELL,67566.828125,63344.066406,67673.742188,63344.066406,67566.828125
1636412400,2021-11-09,BUY,67549.734375,67549.734375,68530.335938,66382.0625,66971.828125
1636412400,2021-11-09,HOLD,66971.828125,67549.734375,68530.335938,66382.0625,66971.828125
1636498800,2021-11-10,HOLD,64995.230469,66953.335938,68789.625,63208.113281,64995.230469
1636585200,2021-11-11,HOLD,64949.960938,64978.890625,65579.015625,64180.488281,64949.960938
1636671600,2021-11-12,HOLD,64155.941406,64863.980469,65460.816406,62333.914063,64155.941406
1636758000,2021-11-13,HOLD,64469.527344,64158.121094,64915.675781,63303.734375,64469.527344
1636844400,2021-11-14,HOLD,65466.839844,64455.371094,65495.179688,63647.808594,65466.839844
1636930800,2021-11-15,HOLD,63557.871094,65521.289063,66281.570313,63548.144531,63557.871094
1637017200,2021-11-16,HOLD,60161.246094,63721.195313,63721.195313,59016.335938,60161.246094
1637103600,2021-11-17,HOLD,60368.011719,60139.621094,60823.609375,58515.410156,60368.011719
1637190000,2021-11-18,HOLD,56942.136719,60360.136719,60948.5,56550.792969,56942.136719
1637276400,2021-11-19,HOLD,58119.578125,56896.128906,58351.113281,55705.179688,58119.578125
1637362800,2021-11-20,HOLD,59697.195313,58115.082031,59859.878906,57469.726563,59697.195313
1637449200,2021-11-21,HOLD,58730.476563,59730.507813,60004.425781,58618.929688,58730.476563
1637535600,2021-11-22,HOLD,56289.289063,58706.847656,59266.359375,55679.839844,56289.289063
1637622000,2021-11-23,HOLD,57569.074219,56304.554688,57875.515625,55632.761719,57569.074219
1637708400,2021-11-24,HOLD,56280.425781,57565.851563,57803.066406,55964.222656,56280.425781
1637794800,2021-11-25,HOLD,57274.679688,57165.417969,59367.96875,57146.683594,57274.679688
1637881200,2021-11-26,HOLD,53569.765625,58960.285156,59183.480469,53569.765625,53569.765625
1637967600,2021-11-27,HOLD,54815.078125,53736.429688,55329.257813,53668.355469,54815.078125
1638054000,2021-11-28,HOLD,57248.457031,54813.023438,57393.84375,53576.734375,57248.457031
1638140400,2021-11-29,HOLD,57806.566406,57291.90625,58872.878906,56792.527344,57806.566406
1638226800,2021-11-30,HOLD,57005.425781,57830.113281,59113.402344,56057.28125,57005.425781
1638313200,2021-12-01,HOLD,57229.828125,56907.964844,59041.683594,56553.082031,57229.828125
1638399600,2021-12-02,HOLD,56477.816406,57217.371094,57349.234375,55895.132813,56477.816406
1638486000,2021-12-03,HOLD,53598.246094,56509.164063,57482.167969,52496.585938,53598.246094
1638572400,2021-12-04,HOLD,49200.703125,53727.878906,53904.679688,42874.617188,49200.703125
1638658800,2021-12-05,HOLD,49368.847656,49201.519531,49768.148438,47857.496094,49368.847656
1638745200,2021-12-06,HOLD,50582.625,49413.480469,50929.519531,47281.035156,50582.625
1638831600,2021-12-07,HOLD,50700.085938,50581.828125,51934.78125,50175.808594,50700.085938
1638918000,2021-12-08,HOLD,50504.796875,50667.648438,51171.375,48765.988281,50504.796875
1639004400,2021-12-09,HOLD,47672.121094,50450.082031,50797.164063,47358.351563,47672.121094
1639090800,2021-12-10,HOLD,47243.304688,47642.144531,50015.253906,47023.699219,47243.304688
1639177200,2021-12-11,HOLD,49362.507813,47264.632813,49458.210938,46942.347656,49362.507813
1639263600,2021-12-12,HOLD,50098.335938,49354.855469,50724.867188,48725.851563,50098.335938
1639350000,2021-12-13,HOLD,46737.480469,50114.742188,50205.0,45894.847656,46737.480469
1639436400,2021-12-14,HOLD,46612.632813,46709.824219,48431.398438,46424.496094,46612.632813
1639522800,2021-12-15,HOLD,48896.722656,48379.753906,49473.957031,46671.964844,48896.722656
1639609200,2021-12-16,HOLD,47665.425781,48900.464844,49425.574219,47529.878906,47665.425781
1639695600,2021-12-17,HOLD,46202.144531,47653.730469,48004.894531,45618.214844,46202.144531
1639782000,2021-12-18,HOLD,46848.777344,46219.253906,47313.828125,45598.441406,46848.777344
1639868400,2021-12-19,HOLD,46707.015625,46853.867188,48089.664063,46502.953125,46707.015625
1639954800,2021-12-20,HOLD,46880.277344,46707.0625,47401.71875,45579.808594,46880.277344
1640041200,2021-12-21,HOLD,48936.613281,46886.078125,49300.917969,46698.773438,48936.613281
1640127600,2021-12-22,HOLD,48628.511719,48937.097656,49544.796875,48450.941406,48628.511719
1640214000,2021-12-23,HOLD,50784.539063,48626.34375,51332.339844,48065.835938,50784.539063
1640300400,2021-12-24,HOLD,50822.195313,50806.050781,51814.027344,50514.496094,50822.195313
1640386800,2021-12-25,HOLD,50429.859375,50854.917969,51176.597656,50236.707031,50429.859375
1640473200,2021-12-26,HOLD,50809.515625,50428.691406,51196.378906,49623.105469,50809.515625
1640559600,2021-12-27,HOLD,50640.417969,50802.609375,51956.328125,50499.46875,50640.417969
1640646000,2021-12-28,HOLD,47588.855469,50679.859375,50679.859375,47414.210938,47588.855469
1640732400,2021-12-29,HOLD,46444.710938,47623.871094,48119.742188,46201.496094,46444.710938
1640818800,2021-12-30,HOLD,47178.125,46490.605469,47879.964844,46060.3125,47178.125
1640905200,2021-12-31,HOLD,46306.445313,47169.371094,48472.527344,45819.953125,46306.445313
1640991600,2022-01-01,HOLD,47686.8125,46311.746094,47827.3125,46288.484375,47686.8125
1641078000,2022-01-02,HOLD,47345.21875,47680.925781,47881.40625,46856.9375,47345.21875
1641164400,2022-01-03,HOLD,46458.117188,47343.542969,47510.726563,45835.964844,46458.117188
1641250800,2022-01-04,HOLD,45897.574219,46458.851563,47406.546875,45752.464844,45897.574219
1641337200,2022-01-05,HOLD,43569.003906,45899.359375,46929.046875,42798.222656,43569.003906
1641423600,2022-01-06,HOLD,43160.929688,43565.511719,43748.71875,42645.539063,43160.929688
1641510000,2022-01-07,HOLD,41557.902344,43153.570313,43153.570313,41077.445313,41557.902344
1641596400,2022-01-08,HOLD,41733.941406,41561.464844,42228.941406,40672.277344,41733.941406
1641682800,2022-01-09,HOLD,41911.601563,41734.726563,42663.949219,41338.160156,41911.601563
1641769200,2022-01-10,HOLD,41821.261719,41910.230469,42199.484375,39796.570313,41821.261719
1641855600,2022-01-11,HOLD,42735.855469,41819.507813,43001.15625,41407.753906,42735.855469
1641942000,2022-01-12,HOLD,43949.101563,42742.179688,44135.367188,42528.988281,43949.101563
