date,time,open,high,low,close,volume,position,ema-1,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-200,rsi,trend,signal
11/01/2015,00:00,315.005005,327.471985,311.881012,325.431,37001100,0,325.431,287.1457901259046,281.4365147379032,276.8737667543409,273.21076396906113,270.25749236478197,267.8624367353792,265.90443903502893,264.28744645030963,249.5692405732014,82.58876553973292,1,1
11/02/2015,00:00,325.941986,365.359985,323.209015,361.188995,101918000,0,361.188995,294.19752392343753,287.5713209119107,282.31345889922216,278.09844347077996,274.69317542015847,271.9201131816671,269.6410882885572,267.74821604137003,250.67988489585613,87.07443423683658,1,1
11/03/2015,00:00,361.872986,417.899994,357.647003,403.416992,206162000,0,403.416992,304.59937802596727,296.48252638022524,290.12659006701426,285.0605850557366,280.9723859850288,277.6373687824642,274.8872021595942,272.593529468464,252.19965710584762,89.85917491881807,1,1
11/04/2015,00:00,403.664001,495.562012,380.548004,411.562988,263900000,0,411.562988,314.7863884996847,305.3348695817464,297.9611963852714,292.0884963304179,287.3426592540518,283.46022179192227,280.2470368984337,277.5567244160189,253.7853618908641,91.99427339459558,1,1
11/05/2015,00:00,408.076996,447.561005,374.580994,386.354004,151824992,0,386.354004,321.60235188066713,311.5671106908428,303.66395816686685,297.325468978728,292.17248094897604,287.9338644966213,284.40809443182843,281.44234154401823,255.10445285712416,79.4914020761112,1,1
11/06/2015,00:00,388.046997,395.835999,354.024994,374.470001,122687000,0,374.470001,326.6373660825084,316.405794560778,308.23208996255283,301.6112763132431,296.1869941221967,291.6963052141595,287.9399339050901,284.7647579531605,256.2921697540682,74.51089844359672,1,1
11/07/2015,00:00,374.269012,390.585999,372.433014,386.481995,56625100,0,386.481995,332.33685455084094,321.7962715176413,313.2804709327107,306.3263162402851,300.59162831135785,295.81742216136996,291.8043284578317,288.39751641911903,257.5875909007939,75.35604711785604,1,1
11/08/2015,00:00,384.278015,389.894989,368.700012,373.368011,51817600,0,373.368011,336.24458373647514,325.76332840089964,317.15708642092295,310.0508548380471,304.14169575958425,299.1891868934843,295.0029042437991,291.4321769398648,258.73963488188053,70.58953392198954,1,1
11/09/2015,00:00,374.324005,385.278015,362.894989,380.256989,68224400,0,380.256989,340.43624138062034,329.95514844698425,321.2280478776376,313.9511956248223,307.8546368932631,302.71387394159365,298.3462016852187,294.60449165629825,259.9487627835533,71.2842214119727,1,1
11/10/2015,00:00,379.984009,381.386993,329.108002,336.819,95797904,0,336.819,340.0917422015136,330.4831370279855,322.2339157564997,315.22162920122105,309.26753265456733,304.19670550935047,299.8549388740337,296.1121526685733,260.71364076580653,58.33872860813428,1,2
11/11/2015,00:00,339.820007,340.584991,300.997009,311.084015,107070000,0,311.084015,337.32910151565517,328.99089687198665,321.5145673205965,314.9917617455976,309.3561415494665,304.49615374807433,300.29529480054214,296.6468620375528,261.21483851938063,51.18457978957757,1,2
