Mode,Date,Price,Holding,Balance,Profit Percentage,Profit to Initial Balance
Buy,2015-11-01,315.005005,0.31110616797977547,98.0,0.0,0.0
Sell,2015-11-01,325.431,0.0,101.24359135182631,3.309787093700317,1.2435913518263106
Buy,2015-11-02,325.941986,0.30455774934807667,99.26815767420231,0.0,0.0
Sell,2015-11-02,361.188995,0.0,110.0029074064937,10.813890359003937,10.002907406493705
Buy,2015-11-03,361.872986,0.2989578604337916,108.18477364334743,0.0,0.0
Sell,2015-11-03,403.416992,0.0,120.60468079095601,11.480272804889598,20.60468079095601
Buy,2015-11-04,403.664001,0.29466677748525294,118.94637036147392,0.0,0.0
Sell,2015-11-04,411.562988,0.0,121.27393940616183,1.956822253268009,21.27393940616183
Buy,2015-11-05,408.076996,0.2931426707458457,119.6247804773818,0.0,0.0
Hold,2015-11-05,386.354004,0.2931426707458457,113.25684458591115,-5.323258162780642,0.0
Hold,2015-11-06,374.470001,0.2931426707458457,109.77313620733952,-8.235454418998911,0.0
Hold,2015-11-07,386.481995,0.2931426707458457,113.29436420948258,-5.291893738602225,0.0
Hold,2015-11-08,373.368011,0.2931426707458457,109.45009591560431,-8.505499045577173,0.0
Hold,2015-11-09,380.256989,0.2931426707458457,111.46954932523367,-6.817342627174219,0.0
Hold,2015-11-10,336.819,0.2931426707458457,98.73602121794501,-17.461899763641668,0.0
Hold,2015-11-11,311.084015,0.2931426707458457,91.19199898344074,-23.768304008981673,0.0
Hold,2015-11-12,338.152008,0.2931426707458457,99.12678274319059,-17.135243761694426,0.0
Hold,2015-11-13,336.752991,0.2931426707458457,98.71667116339175,-17.47807538751829,0.0
Hold,2015-11-14,332.906006,0.2931426707458457,97.58895570617254,-18.42078596363712,0.0
Hold,2015-11-15,320.165985,0.2931426707458457,93.85431192487437,-21.54275096653575,0.0
Hold,2015-11-16,330.751007,0.2931426707458457,96.95723354385791,-18.948872334866927,0.0
Hold,2015-11-17,335.093994,0.2931426707458457,98.2303483520524,-17.884615578771808,0.0
Hold,2015-11-18,334.589996,0.2931426707458457,98.08260503228183,-18.00812119289371,0.0
Hold,2015-11-19,326.148987,0.2931426707458457,95.60818511023211,-20.07660559234268,0.0
Hold,2015-11-20,322.022003,0.2931426707458457,94.39838999834673,-21.087930425757214,0.0
Hold,2015-11-21,326.927002,0.2931426707458457,95.83625450521245,-19.885951620757368,0.0
Hold,2015-11-22,324.536011,0.2931426707458457,95.13535301774316,-20.47186825498001,0.0
Hold,2015-11-23,323.04599,0.2931426707458457,94.69856428233577,-20.837000574273983,0.0
Hold,2015-11-24,320.04599,0.2931426707458457,93.81913627009824,-21.572155956568544,0.0
Hold,2015-11-25,328.205994,0.2931426707458457,96.211181635955,-19.57253233652016,0.0
Hold,2015-11-26,352.68399,0.2931426707458457,103.38672675790114,-13.574155500791818,0.0
Hold,2015-11-27,358.041992,0.2931426707458457,104.95738577404272,-12.261167497910133,0.0
Hold,2015-11-28,357.381012,0.2931426707458457,104.76362433153314,-12.423141832773151,0.0
Hold,2015-11-29,371.294006,0.2931426707458457,108.84211655076408,-9.013737691795786,0.0
Hold,2015-11-30,377.321014,0.2931426707458457,110.60888977249064,-7.536808568351649,0.0
Hold,2015-12-01,362.488007,0.2931426707458457,106.26070248531882,-11.171663545572665,0.0
Hold,2015-12-02,359.187012,0.2931426707458457,105.29303999490013,-11.980578292631824,0.0
Hold,2015-12-03,361.04599,0.2931426707458457,105.8379857706779,-11.525032398542754,0.0
Hold,2015-12-04,363.183014,0.2931426707458457,106.46443869348587,-11.001350833311863,0.0
Hold,2015-12-05,388.949005,0.2931426707458457,114.0175501096393,-4.687348512044038,0.0
Hold,2015-12-06,388.78299,0.2931426707458457,113.96888402915542,-4.728030785641259,0.0
Hold,2015-12-07,395.536011,0.2931426707458457,115.9484826406982,-3.0731908740085023,0.0
Sell,2015-12-08,415.562988,0.0,121.81924416544383,1.8344557702046946,21.819244165443834
Buy,2015-12-09,414.44101,0.2899748445218062,120.17746743821034,0.0,0.0
Hold,2015-12-09,417.562988,0.2899748445218062,121.08276252336084,0.7532985213022229,0.0
Hold,2015-12-10,415.479004,0.2899748445218062,120.47845958697489,0.2504563918517472,0.0
Sell,2015-12-11,451.937988,0.0,131.05064780379794,9.047603180003842,31.050647803797943
Buy,2015-12-12,452.334991,0.2863464530975641,129.52452028476858,0.0,0.0
Hold,2015-12-12,434.997009,0.2863464530975641,124.55985063519918,-3.832995975321301,0.0
Hold,2015-12-13,433.755005,0.2863464530975641,124.20420719506619,-4.1075721245717185,0.0
Hold,2015-12-14,444.182007,0.2863464530975641,127.1899422342074,-1.802421692377984,0.0
Sell,2015-12-15,465.321014,0.0,133.24302191066198,2.870886236612198,33.24302191066198
Buy,2015-12-16,465.208008,0.2831894613871631,131.74200521851506,0.0,0.0
Hold,2015-12-16,454.93399,0.2831894613871631,128.83251159481304,-2.2084783200894518,0.0
Hold,2015-12-17,456.078003,0.2831894613871631,129.15648402010297,-1.9625640236184332,0.0
Hold,2015-12-18,463.615997,0.2831894613871631,131.29116448090264,-0.34221487434067277,0.0
Hold,2015-12-19,462.321991,0.2831894613871631,130.9247156187309,-0.6203713071078356,0.0
Hold,2015-12-20,442.684998,0.2831894613871631,125.36372614779738,-4.8414923244399475,0.0
Hold,2015-12-21,438.639008,0.2831894613871631,124.21794441891953,-5.711208651421147,0.0
Hold,2015-12-22,436.571991,0.2831894613871631,123.63258698801143,-6.155529678672248,0.0
Hold,2015-12-23,442.401001,0.2831894613871631,125.28330119033181,-4.90253963985933,0.0
Hold,2015-12-24,454.984985,0.2831894613871631,128.84695284139647,-2.197516556937693,0.0
Hold,2015-12-25,455.653015,0.2831894613871631,129.03613189728694,-2.0539184269588158,0.0
Hold,2015-12-26,417.273987,0.2831894613871631,118.16759562940409,-10.30378243187938,0.0
Hold,2015-12-27,422.822998,0.2831894613871631,119.73901706572553,-9.11098030797441,0.0
Hold,2015-12-28,422.278992,0.2831894613871631,119.58496029959416,-9.227918535744548,0.0
Hold,2015-12-29,432.983002,0.2831894613871631,122.61622312617696,-6.927010164450996,0.0
Hold,2015-12-30,426.619995,0.2831894613871631,120.81428660104423,-8.29478692034896,0.0
Hold,2015-12-31,430.566986,0.2831894613871631,121.93203285643419,-7.446351181469776,0.0
Hold,2016-01-01,434.334015,0.2831894613871631,122.99881576997403,-6.636599643400798,0.0
Hold,2016-01-02,433.437988,0.2831894613871631,122.74507036645568,-6.829207462825949,0.0
Hold,2016-01-03,430.010986,0.2831894613871631,121.77457951590294,-7.565867610774224,0.0
Hold,2016-01-04,433.091003,0.2831894613871631,122.64680787119624,-6.903794527973811,0.0
Hold,2016-01-05,431.959991,0.2831894613871631,122.32651719209383,-7.146914160600597,0.0
Hold,2016-01-06,429.105011,0.2831894613871631,121.5180169436227,-7.760613828470467,0.0
Hold,2016-01-07,458.048004,0.2831894613871631,129.71436754222512,-1.5390973235353311,0.0
Hold,2016-01-08,453.230011,0.2831894613871631,128.34996269958802,-2.5747615677329336,0.0
Hold,2016-01-09,447.610992,0.2831894613871631,126.75871573545378,-3.7826124437651503,0.0
Hold,2016-01-10,447.990997,0.2831894613871631,126.8663291467282,-3.700927478445293,0.0
Hold,2016-01-11,448.428009,0.2831894613871631,126.99008633962792,-3.606988424842423,0.0
Hold,2016-01-12,435.690002,0.2831894613871631,123.38281699815202,-6.345119923215072,0.0
Hold,2016-01-13,432.371002,0.2831894613871631,122.44291117580802,-7.058564219728562,0.0
Hold,2016-01-14,430.306,0.2831894613871631,121.8581243716646,-7.502452107402245,0.0
Hold,2016-01-15,364.330994,0.2831894613871631,103.17469795750975,-21.684281496719205,0.0
Hold,2016-01-16,387.536011,0.2831894613871631,109.7461142232197,-16.696186579832055,0.0
Hold,2016-01-17,382.299011,0.2831894613871631,108.26305101393515,-17.82191956592457,0.0
Hold,2016-01-18,387.167999,0.2831894613871631,109.64189710315571,-16.775293558575193,0.0
Hold,2016-01-19,380.148987,0.2831894613871631,107.65418687540567,-18.284083579231936,0.0
Hold,2016-01-20,420.230011,0.2831894613871631,119.00471047381163,-9.668362587601885,0.0
Hold,2016-01-21,410.261993,0.2831894613871631,116.18187282529409,-11.811063880052544,0.0
Hold,2016-01-22,382.492004,0.2831894613871631,108.31770459765664,-17.780434252541923,0.0
Hold,2016-01-23,387.490997,0.2831894613871631,109.73336673280484,-16.705862681538356,0.0
Hold,2016-01-24,402.971008,0.2831894613871631,114.1171427101622,-13.378316565866161,0.0
Hold,2016-01-25,391.726013,0.2831894613871631,110.93267863281086,-15.795513778000132,0.0
Hold,2016-01-26,392.153015,0.2831894613871631,111.0536010992021,-15.703726450039952,0.0
Hold,2016-01-27,394.971985,0.2831894613871631,111.85190369516867,-15.09776740558601,0.0
Hold,2016-01-28,380.289001,0.2831894613871631,107.69383736465232,-18.25398650489267,0.0
Hold,2016-01-29,379.473999,0.2831894613871631,107.46303738724288,-18.429177384237967,0.0
Hold,2016-01-30,378.255005,0.2831894613871631,107.11783113294868,-18.691209417014164,0.0
Hold,2016-01-31,368.766998,0.2831894613871631,104.43092754098106,-20.730728693733056,0.0
Hold,2016-02-01,373.056,0.2831894613871631,105.64552770724951,-19.80877508884155,0.0
Hold,2016-02-02,374.447998,0.2831894613871631,106.03972687112153,-19.509554530282287,0.0
Hold,2016-02-03,369.949005,0.2831894613871631,104.76565946666692,-20.4766472979545,0.0
Hold,2016-02-04,389.593994,0.2831894613871631,110.32891332053366,-16.25380747959953,0.0
Hold,2016-02-05,386.549011,0.2831894613871631,109.46660622483058,-16.908349737608127,0.0
Hold,2016-02-06,376.522003,0.2831894613871631,106.62706322998581,-19.06373137927583,0.0
Hold,2016-02-07,376.619995,0.2831894613871631,106.65481353168607,-19.042667253483724,0.0
Hold,2016-02-08,373.446991,0.2831894613871631,105.75625223794675,-19.724728599254888,0.0
Hold,2016-02-09,376.028992,0.2831894613871631,106.48744771043788,-19.169707843894194,0.0
Hold,2016-02-10,381.648987,0.2831894613871631,108.0789710674864,-17.9616471692379,0.0
Hold,2016-02-11,379.653992,0.2831894613871631,107.51400950796634,-18.390486519741934,0.0
Hold,2016-02-12,384.263,0.2831894613871631,108.81923200101545,-17.399745190972723,0.0
Hold,2016-02-13,391.859985,0.2831894613871631,110.97061809133181,-15.766715477520323,0.0
Hold,2016-02-14,407.230011,0.2831894613871631,115.3232474757785,-12.462811474216927,0.0
Hold,2016-02-15,400.184998,0.2831894613871631,113.32817403884295,-13.977190607604498,0.0
Hold,2016-02-16,407.488007,0.2831894613871631,115.39630922405854,-12.407353271528383,0.0
Hold,2016-02-17,416.321991,0.2831894613871631,117.89800039492137,-10.50842121359183,0.0
Hold,2016-02-18,422.372986,0.2831894613871631,119.61157840982779,-9.207713810463893,0.0
Hold,2016-02-19,420.785004,0.2831894613871631,119.16187864255528,-9.54906262060733,0.0
Hold,2016-02-20,437.164001,0.2831894613871631,123.80023798104723,-6.028272625951871,0.0
Hold,2016-02-21,438.798004,0.2831894613871631,124.26297041052224,-5.677031251792205,0.0
Hold,2016-02-22,437.747986,0.2831894613871631,123.96561637865543,-5.902740608024948,0.0
Hold,2016-02-23,420.735992,0.2831894613871631,119.14799896067377,-9.559598122825081,0.0
Hold,2016-02-24,424.954987,0.2831894613871631,120.34277388231891,-8.652693055103203,0.0
Hold,2016-02-25,424.544006,0.2831894613871631,120.22638839428855,-8.741036547247047,0.0
Hold,2016-02-26,432.152008,0.2831894613871631,122.380894382901,-7.105638645842049,0.0
Hold,2016-02-27,432.519012,0.2831894613871631,122.48482604798794,-7.026748344366415,0.0
Hold,2016-02-28,433.503998,0.2831894613871631,122.76376370280184,-6.81501811121015,0.0
Hold,2016-02-29,437.696991,0.2831894613871631,123.95117513207198,-5.913702371176718,0.0
Hold,2016-03-01,435.122986,0.2831894613871631,123.22224404251412,-6.467004325514525,0.0
Hold,2016-03-02,423.989014,0.2831894613871631,120.06922050873436,-8.860336299283992,0.0
Hold,2016-03-03,421.651001,0.2831894613871631,119.40711986654817,-9.362909978110261,0.0
Hold,2016-03-04,410.938995,0.2831894613871631,116.3735926570321,-11.6655371504267,0.0
Hold,2016-03-05,400.570007,0.2831894613871631,113.43720453018214,-13.894429994420909,0.0
Hold,2016-03-06,407.707001,0.2831894613871631,115.45832601696557,-12.360278845414884,0.0
Hold,2016-03-07,414.321014,0.2831894613871631,117.33134479604327,-10.938546440498929,0.0
Hold,2016-03-08,413.971985,0.2831894613871631,117.23250346152477,-11.0135728789948,0.0
Hold,2016-03-09,414.859985,0.2831894613871631,117.48397570323657,-10.82269052427833,0.0
Hold,2016-03-10,417.131012,0.2831894613871631,118.12710661616227,-10.334515995691975,0.0
Hold,2016-03-11,421.690002,0.2831894613871631,119.41816453873173,-9.354526416492812,0.0
Hold,2016-03-12,411.623993,0.2831894613871631,116.5675768717034,-11.518291619777962,0.0
Hold,2016-03-13,414.065002,0.2831894613871631,117.25884489565462,-10.993578167295858,0.0
Hold,2016-03-14,416.437988,0.2831894613871631,117.9308495228739,-10.483486776091775,0.0
Hold,2016-03-15,416.829987,0.2831894613871631,118.0418595085482,-10.399223609237609,0.0
Hold,2016-03-16,417.010986,0.2831894613871631,118.09311651786982,-10.360316497389267,0.0
Hold,2016-03-17,420.621002,0.2831894613871631,119.11543500450885,-9.584316098015233,0.0
Hold,2016-03-18,409.548004,0.2831894613871631,115.97967866494773,-11.964541246676038,0.0
Hold,2016-03-19,410.444,0.2831894613871631,116.23341528959278,-11.771940090936688,0.0
Hold,2016-03-20,413.755005,0.2831894613871631,117.17105701219297,-11.06021438048848,0.0
Hold,2016-03-21,413.307007,0.2831894613871631,117.04418869987045,-11.156514958358157,0.0
Hold,2016-03-22,418.088989,0.2831894613871631,118.39839560681357,-10.12859155253406,0.0
Hold,2016-03-23,418.040985,0.2831894613871631,118.38480137990912,-10.138910377484308,0.0
Hold,2016-03-24,416.394012,0.2831894613871631,117.91839598311992,-10.492939751802385,0.0
Hold,2016-03-25,417.177002,0.2831894613871631,118.14013049949148,-10.324630095361547,0.0
Hold,2016-03-26,417.945007,0.2831894613871631,118.3576214217841,-10.15954157865658,0.0
Hold,2016-03-27,426.765015,0.2831894613871631,120.85535473673458,-8.263613768230746,0.0
Hold,2016-03-28,424.230988,0.2831894613871631,120.13774499546406,-8.80832214736939,0.0
Hold,2016-03-29,416.515991,0.2831894613871631,117.95293915043047,-10.466719437899275,0.0
Hold,2016-03-30,414.81601,0.2831894613871631,117.47152244667207,-10.832143285031322,0.0
Hold,2016-03-31,416.729004,0.2831894613871631,118.01326218716893,-10.420930673231233,0.0
Hold,2016-04-01,417.959991,0.2831894613871631,118.36186473267354,-10.156320653878339,0.0
