date,time,open,high,low,close,volume,position,ema-1,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-200,rsi,trend,signal
10/01/2020,00:00,10795.254883,10933.624023,10472.356445,10619.452148,40023134100,0,10619.452148,10733.702552367238,10755.798374235213,10776.13226653086,10790.185424021138,10796.316621263624,10794.440267006486,10785.143355018938,10769.232194431785,9470.066843677942,42.658338275612884,0,2
10/02/2020,00:00,10619.821289,10657.837891,10416.689453,10575.974609,48661453918,0,10575.974609,10718.680843475122,10741.965776909428,10763.218869270806,10778.28482318663,10785.568230421495,10784.94176013664,10776.940659096626,10762.33013780922,9481.07090104433,41.92836636204234,0,2
10/03/2020,00:00,10575.100586,10598.94043,10511.129883,10549.329102,44660271563,0,10549.329102,10702.552106191777,10727.147571147167,10749.419529446883,10765.565060898485,10774.044370498495,10774.697731522003,10768.014715681073,10754.722957958891,9491.70033587971,37.38536941060205,0,2
10/04/2020,00:00,10550.44043,10686.0,10534.391602,10669.583008,71251776995,0,10669.583008,10699.412192078275,10722.719527828154,10744.26878612773,10760.232724626347,10768.948694279057,10770.127526151482,10764.154648713189,10751.682245460359,9503.420561472947,43.676247175704255,0,2
10/05/2020,00:00,10676.529297,10793.507813,10634.600586,10793.339844,47537578009,0,10793.339844,10708.357682737485,10728.151859841375,10747.434660829167,10762.072009035994,10770.138506460566,10771.136757362288,10765.299166175417,10753.170016836775,9516.255579209535,59.341020859649184,0,2
10/06/2020,00:00,10796.306641,10797.578125,10528.890625,10604.40625,42623695307,0,10604.40625,10698.457546286296,10718.632966776655,10738.207021420836,10753.31280020066,10762.054006145416,10763.887604868276,10758.989640050891,10747.857025164034,9527.082949068148,51.749315468927186,0,2
10/07/2020,00:00,10603.355469,10680.507813,10562.506836,10668.96875,37799458436,0,10668.96875,10695.649089497125,10714.81264240922,10733.74003616788,10748.627019633956,10757.5132619432,10759.760698134874,10755.459409068504,10745.039586765319,9538.444996838614,62.75587384666641,0,1
10/08/2020,00:00,10669.371094,10945.737305,10562.606445,10915.685547,63314794397,0,10915.685547,10716.604942592636,10730.26440430082,10745.478456221565,10757.90804893207,10765.228983165483,10766.54003938988,10761.742787026602,10751.13408534513,9552.148882909873,55.597637795896965,0,2
10/09/2020,00:00,10927.913086,11102.671875,10846.850586,11064.458008,22799117613,0,11064.458008,10749.733805964766,10755.971604585373,10766.057782142754,10774.938602213622,10779.82552096229,10779.492994546843,10773.613972162815,10762.324225439947,9567.19673490082,62.631663141609145,0,1
10/10/2020,00:00,11059.142578,11442.210938,11056.94043,11296.361328,22877978588,0,11296.361328,10801.793569968122,10797.540044848038,10800.270914133545,10803.906531423978,10805.022389598274,10801.965530783938,10794.113868470156,10781.396979102805,9584.402352742603,66.58108047100436,0,1
