Mode,Date,Price,Holding,Balance,Profit Percentage,Profit to Initial Balance
Buy,2020-10-01,10795.254883,0.009078062636050129,98.0,0.0,0.0
Hold,2020-10-01,10619.452148,0.009078062636050129,96.40405176008109,-1.6285186121621542,0.0
Hold,2020-10-02,10575.974609,0.009078062636050129,96.00935993777777,-2.031265369614517,0.0
Hold,2020-10-03,10549.329102,0.009078062636050129,95.76747035626245,-2.2780914732015813,0.0
Hold,2020-10-04,10669.583008,0.009078062636050129,96.85914284716014,-1.164139951877405,0.0
Hold,2020-10-05,10793.339844,0.009078062636050129,97.98261515600753,-0.01773963672701426,0.0
Hold,2020-10-06,10604.40625,0.009078062636050129,96.26746415562147,-1.7678937187536041,0.0
Hold,2020-10-07,10668.96875,0.009078062636050129,96.85356657456144,-1.1698300259577135,0.0
Sell,2020-10-08,10915.685547,0.0,99.0932771110931,1.1155888888705117,-0.9067228889068986
Buy,2020-10-09,10927.913086,0.008883212737465892,97.0749767194754,0.0,0.0
Sell,2020-10-09,11064.458008,0.0,98.28793430982209,1.2495059296814066,-1.7120656901779086
Buy,2020-10-10,11059.142578,0.008703486357267337,96.25309655069734,0.0,0.0
Sell,2020-10-10,11296.361328,0.0,98.31772670501034,2.1450012813099986,-1.6822732949896562
Buy,2020-10-11,11296.082031,0.008523619541842366,96.283505545686,0.0,0.0
Hold,2020-10-11,11384.181641,0.008523619541842366,97.03443310311069,0.7799129800777533,0.0
Sell,2020-10-12,11555.363281,0.0,98.49352027501932,2.2953201763979023,-1.5064797249806787
Buy,2020-10-13,11548.719727,0.008352694681499927,96.46292984184618,0.0,0.0
Hold,2020-10-13,11425.899414,0.008352694681499927,95.43704926667093,-1.063497217902475,0.0
Hold,2020-10-14,11429.506836,0.008352694681499927,95.46718096122426,-1.0322606645417853,0.0
Hold,2020-10-15,11495.349609,0.008352694681499927,96.01714554107657,-0.4621301690716623,0.0
Hold,2020-10-16,11322.123047,0.008352694681499927,94.57023695796464,-1.9620935078217747,0.0
