Mode,Date,Price,Holding,Balance,Profit to Initial Balance
Hold Position Short,2021-11-15,65521.289063,0.0015807861159242572,105.83890386560302,0.0
Hold Position Short,2021-11-16,63721.195313,0.0015807861159242572,105.83890386560302,0.0
Take Profit Short,2021-11-17,60139.621094,0.0015807861159242572,116.60992968886524,-4.932121957659206
Short,2021-11-18,60360.136719,0.0019319030079691499,116.60992968886524,0.0
Hold Position Short,2021-11-19,56896.128906,0.0019319030079691499,116.60992968886524,0.0
Hold Position Short,2021-11-20,58115.082031,0.0019319030079691499,116.60992968886524,0.0
Hold Position Short,2021-11-21,59730.507813,0.0019319030079691499,116.60992968886524,0.0
Hold Position Short,2021-11-22,58706.847656,0.0019319030079691499,116.60992968886524,0.0
Hold Position Short,2021-11-23,56304.554688,0.0019319030079691499,116.60992968886524,0.0
Hold Position Short,2021-11-24,57565.851563,0.0019319030079691499,116.60992968886524,0.0
Hold Position Short,2021-11-25,57165.417969,0.0019319030079691499,116.60992968886524,0.0
Hold Position Closed,2021-11-26,58960.285156,0.0,113.90555224359521,13.90555224359521
Short,2021-11-26,58960.285156,0.0019319030079691499,113.90555224359521,0.0
Hold Position Short,2021-11-27,53736.429688,0.0019319030079691499,113.90555224359521,0.0
Hold Position Short,2021-11-28,54813.023438,0.0019319030079691499,113.90555224359521,0.0
Hold Position Short,2021-11-29,57291.90625,0.0019319030079691499,113.90555224359521,0.0
Hold Position Short,2021-11-30,57830.113281,0.0019319030079691499,113.90555224359521,0.0
Hold Position Short,2021-12-01,56907.964844,0.0019319030079691499,113.90555224359521,0.0
Hold Position Short,2021-12-02,57217.371094,0.0019319030079691499,113.90555224359521,0.0
Hold Position Short,2021-12-03,56509.164063,0.0019319030079691499,113.90555224359521,0.0
Hold Position Closed,2021-12-04,53727.878906,0.0,103.79705087030364,3.797050870303636
Short,2021-12-04,53727.878906,0.0019319030079691499,103.79705087030364,0.0
Take Profit Short,2021-12-05,49201.519531,0.0019319030079691499,112.5415381620155,-4.947436421408227
Long,2021-12-06,49413.480469,0.0022775472825197866,112.5415381620155,0.0
