date,time,open,high,low,close,volume,position,ema-1,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-200,rsi,trend,signal
10/18/2021,00:00,61548.804688,62614.660156,60012.757813,62026.078125,38055562075,0,62026.078125,55128.03678605768,53961.47365245671,53028.84623635141,52254.68696639336,51589.85620887116,51004.86055347403,50482.56033206349,50012.93144007844,47041.598610344205,80.94081512476322,1,1
10/19/2021,00:00,62043.164063,64434.535156,61622.933594,64261.992188,40471196346,0,64261.992188,55997.93730052838,54753.82123211389,53753.56533000616,52921.75947870484,52208.00918346281,51581.25758106212,51022.930208766884,50521.82646678993,47212.94581012188,80.78798837011004,1,1
10/20/2021,00:00,64284.585938,66930.390625,63610.675781,65992.835938,40788955582,0,65992.835938,56949.83240885901,55618.36082487437,54543.19569181222,53647.930393110124,52880.43975685487,52207.84794440724,51609.98533540348,51074.362519333146,47399.810388508726,78.60090253357951,1,1
10/21/2021,00:00,66002.234375,66600.546875,62117.410156,62210.171875,45908121370,0,62210.171875,57450.81711992006,56125.42321334557,55037.839316534024,54123.61047543734,53335.54864066682,52642.73159356345,52025.67892519158,51472.069996321254,47547.177169468836,70.18980067347793,1,1
10/22/2021,00:00,62237.890625,63715.023438,60122.796875,60692.265625,38434082775,0,60692.265625,57759.526501356246,56476.71878347284,55402.641013854416,54488.535761524145,53694.41288380502,52992.71133406069,52365.54507028211,51801.362697345496,47677.97406952387,65.1662663045064,1,1
10/23/2021,00:00,60694.628906,61743.878906,59826.523438,61393.617188,26882546034,0,61393.617188,58105.6303762747,56854.941737667235,55789.15560573478,54872.15139632836,54069.98382547306,53357.96811031892,52719.58711411418,52143.943214868865,47814.448130404235,64.68999214829196,1,1
10/24/2021,00:00,61368.34375,61505.804688,59643.34375,60930.835938,27316183882,0,60930.835938,58374.69757262949,57168.47206076976,56120.87691749383,55208.74498197678,54404.659538279244,53687.22323326158,53041.59687191363,52457.760812123546,47944.95945187285,63.912241100407904,1,1
10/25/2021,00:00,60893.925781,63729.324219,60691.800781,63039.824219,31064911614,0,63039.824219,58818.9953484743,57620.114534479784,56567.2606143652,55643.80493958918,54825.88708368026,54093.85805872847,53433.684218858194,52835.691648083426,48095.15711124725,62.89955503842624,1,1
10/26/2021,00:00,63032.761719,63229.027344,59991.160156,60363.792969,34878965587,0,60363.792969,58966.11893138151,57831.16672175057,56812.19818563197,55906.02649677867,55096.02883418366,54366.46392439245,53705.45318945199,53104.55240954473,48217.23308993136,59.494594031062796,1,2
10/27/2021,00:00,60352.0,61435.183594,58208.1875,58482.386719,43657076893,0,58482.386719,58920.04919686899,57881.260567692836,56919.95228455894,56049.15762023541,55261.21702368689,54545.41708937538,53892.78391610093,53296.61792059671,48319.3739220614,52.321802245071,1,2
10/28/2021,00:00,58470.730469,62128.632813,58206.917969,60622.136719,45257083247,0,60622.136719,59082.15277040528,58092.09719471647,57158.802893232554,56303.21201461122,55522.72530150704,54809.62229066341,54156.680104449915,53558.24359196826,48441.7894722797,56.51118200171216,1,2
10/29/2021,00:00,60624.871094,62927.609375,60329.964844,62227.964844,36856881767,0,62227.964844,59381.75392027145,58410.240860045975,57485.84559973368,56632.36494957726,55849.810157238404,55132.15892341718,54473.20107462835,53867.87649382654,48578.96534662518,51.397795123446194,1,2
10/30/2021,00:00,62239.363281,62330.144531,60918.386719,61888.832031,32157938616,0,61888.832031,59620.52326415036,58677.82479627321,57769.90924046054,56924.39089854519,56144.39659010482,55425.92731939904,54764.010131740964,54154.33919158274,48711.401831046824,52.23299468419529,1,2
10/31/2021,00:00,61850.488281,62406.171875,60074.328125,61318.957031,32241199927,0,61318.957031,59782.27886099318,58880.988814329125,57998.88006565664,57168.53346145935,56396.81417258751,55682.14600251213,55021.066872888376,54410.21840013336,48836.85014149413,49.47207905932103,1,2
11/01/2021,00:00,61320.449219,62419.003906,59695.183594,61004.40625,36150572843,0,61004.40625,59898.6719456605,59044.32861707304,58192.78498077556,57381.637505267165,56621.57476172958,55913.54862196812,55255.70763277511,54645.725109057166,48957.920351529014,47.685070943473164,1,2
11/02/2021,00:00,60963.253906,64242.792969,60673.054688,63226.402344,37746665647,0,63226.402344,60215.598650264255,59366.02659606743,58517.53448808037,57706.346662974545,56943.76147305984,56231.49878379559,55568.283895960405,54952.17786744798,49099.89529672774,47.65205438887335,1,2
11/03/2021,00:00,63254.335938,63516.9375,61184.238281,62970.046875,36124731509,0,62970.046875,60477.92705262004,59643.25892521609,58804.79335175261,57998.774452531514,57237.726614617895,56524.47913558709,55858.5491108247,55238.530332003415,49237.906755218006,42.65550975743941,1,2
11/04/2021,00:00,62941.804688,63123.289063,60799.664063,61452.230469,32615846901,0,61452.230469,60570.71785418004,59782.41058243024,58975.59574641373,58190.633120113096,57443.312168490185,56738.729193561565,56077.90916408648,55460.44819403901,49359.44231455912,47.93067886795334,1,2
