date,time,open,high,low,close,volume,position,ema-1,ema-20,ema-25,ema-30,ema-35,ema-40,ema-45,ema-50,ema-55,ema-200,rsi,trend,signal
01/01/2020,00:00,7194.89209,7254.330566,7174.944336,7200.174316,18565664997,0,7200.174316,7290.616104488179,7322.027087118984,7363.41489934441,7411.264236157615,7463.0883390513445,7517.252612190274,7572.655266779604,7628.505672260268,8626.874152307912,46.609228703069185,0,2
01/02/2020,00:00,7202.55127,7212.155273,6935.27002,6985.470215,20802083465,0,6985.470215,7261.5545912035905,7296.138096955986,7339.031371322189,7387.60901275997,7439.789893975669,7494.131638399393,7549.628402003934,7605.540120215259,8610.54177482226,41.44668990786664,0,2
01/03/2020,00:00,6984.428711,7413.715332,6914.996094,7344.884277,28111481032,0,7344.884277,7269.490751755629,7299.887803113218,7339.4089781401135,7385.23541632886,7435.160351684172,7487.642622686376,7541.599220631231,7596.2309829575715,8597.948167878756,53.90510214780746,0,2
01/04/2020,00:00,7345.375488,7427.385742,7309.51416,7410.656738,18444271275,0,7410.656738,7282.9351313979505,7308.408490412201,7344.0056078084945,7386.647711977256,7433.965053455676,7484.295410308708,7536.464221312359,7589.603331351944,8586.134322805336,56.64236675229131,0,2
01/05/2020,00:00,7410.45166,7544.49707,7400.535645,7411.317383,19725074095,0,7411.317383,7295.162012502908,7316.324559072802,7348.348302982141,7388.018249256297,7432.860289043203,7481.122452599634,7531.5565021628545,7583.23597605366,8574.444602011254,46.23743467372182,0,2
01/06/2020,00:00,7410.452148,7781.867188,7409.292969,7769.219238,23276261598,0,7769.219238,7340.310319693107,7351.162611297972,7375.501266531681,7409.19608196428,7449.268042650851,7493.6483997909545,7540.876609450585,7589.878235408886,8566.432409334524,63.47702093401757,0,2
01/07/2020,00:00,7768.682129,8178.21582,7768.227539,8163.692383,28767291327,0,8163.692383,7418.727659055668,7413.664901428898,7426.352306303831,7451.112543132931,7484.118010472761,7522.7807468870005,7565.300757432916,7610.371597822855,8562.42504588841,72.18475603609029,0,2
01/08/2020,00:00,8161.935547,8396.738281,7956.774414,8079.862793,31672559265,0,8079.862793,7481.692909907509,7464.910893088214,7468.514273187456,7486.043112569991,7513.17873157165,7547.001705413653,7585.479660788488,7627.139140507753,8557.62343143181,70.82295159212201,0,2
01/09/2020,00:00,8082.295898,8082.295898,7842.403809,7879.071289,24045990466,0,7879.071289,7519.538469821079,7496.769385081429,7495.001822594718,7507.878011260546,7531.027149007179,7561.439513395669,7596.993057973254,7636.136717239619,8550.87166882055,65.26338879713109,0,2
01/10/2020,00:00,7878.307617,8166.554199,7726.774902,8166.554199,28714583844,0,8166.554199,7581.159015457167,7548.291293844397,7538.3277823628005,7544.4711328016265,7562.028468519024,7587.748847552379,7619.32878899391,7655.080198731062,8547.047614394474,68.78229347541603,0,2
01/11/2020,00:00,8162.190918,8218.359375,8029.64209,8037.537598,25521165085,0,8037.537598,7624.6236423660075,7585.92562493329,7570.53486724262,7571.863714201536,7585.224035810778,7607.304880180536,7635.72913444513,7668.739391562096,8541.977862987564,64.7791155597515,0,2
01/12/2020,00:00,8033.261719,8200.063477,8009.059082,8192.494141,22903438381,0,8192.494141,7678.706546997816,7632.584741553806,7610.661272001161,7606.343182357005,7614.846967771228,7632.747891520513,7657.56305627081,7687.444918327736,8538.500413017538,65.49205695091493,0,2
01/13/2020,00:00,8189.771973,8197.788086,8079.700684,8144.194336,22482910688,0,8144.194336,7723.038717378977,7671.939325741975,7645.082760001086,7636.223802003838,7640.668790611656,7654.984693454404,7676.646635868034,7703.757397530317,8534.576969465124,67.70915577504633,0,2
01/14/2020,00:00,8140.933105,8879.511719,8140.933105,8827.764648,44841784107,0,8827.764648,7828.250710771455,7760.848965915669,7721.384817291339,7702.420515670291,7698.575905606209,7705.975126260735,7721.788518696738,7743.90051361852,8537.494259798805,77.35052004636432,0,2
01/15/2020,00:00,8825.34375,8890.117188,8657.1875,8807.010742,40102834650,0,8807.010742,7921.46595184084,7841.322948691387,7791.425199530607,7763.786639355274,7752.645897625418,7753.846239988529,7764.346252943925,7781.8687360607155,8540.176015840607,76.76608703310632,0,2
01/16/2020,00:00,8812.481445,8846.460938,8612.095703,8723.786133,31313981931,0,8723.786133,7997.877397665522,7909.204732099742,7851.577517818955,7817.119944557759,7800.0185920339345,7796.017539684681,7801.971346279457,7815.508643094261,8542.002982180502,80.2826883751987,0,2
01/17/2020,00:00,8725.209961,8958.12207,8677.316406,8929.038086,36372139320,0,8929.038086,8086.559367983091,7987.653451630532,7921.091102862893,7878.893174637883,7855.092713690816,7845.279302567956,7846.170041954772,7855.277551769466,8545.854077740896,79.16351378295975,0,2
01/18/2020,00:00,8927.211914,9012.198242,8827.332031,8942.808594,32337772627,0,8942.808594,8168.106913318035,8061.126924120491,7987.00836035561,7937.999586824667,7908.15202492541,7892.997967412827,7889.175475368311,7894.117946134842,8549.80387392258,78.75677784786721,0,2
01/19/2020,00:00,8941.445313,9164.362305,8620.080078,8706.245117,34217320471,0,8706.245117,8219.358170811556,8110.7514004958375,8033.410731752023,7980.67989405663,7947.083395270512,7928.356539134009,7921.2174220989655,7923.122487951455,8551.360503206932,72.32721240388813,0,2
01/20/2020,00:00,8704.631836,8745.59082,8560.473633,8657.642578,26422375678,0,8657.642578,8261.099542924741,8152.819952611543,8073.683754090603,8018.288932053483,7981.744818818292,7960.064627780356,7950.096839977437,7949.3553483103315,8552.41803628945,67.14714082439596,1,2
01/21/2020,00:00,8658.991211,8755.706055,8544.520508,8745.894531,24097418512,0,8745.894531,8307.270494170003,8198.441074026041,8117.052191310564,8058.71146532829,8019.020414534472,7994.231145311645,7981.304592566557,7977.803176263535,8554.3431755403,62.74318770456687,1,2
01/22/2020,00:00,8744.210938,8792.994141,8636.74707,8680.875977,22600204051,0,8680.875977,8342.851968725241,8235.551451177884,8153.42791941956,8093.276160421162,8051.306051727913,8024.085268428531,8008.738764505124,8002.91291914698,8555.602208390645,63.26414803085259,1,2
01/23/2020,00:00,8680.650391,8687.74707,8333.637695,8406.515625,25770680779,0,8406.515625,8348.915174084743,8248.702541471894,8169.7561584892655,8110.678352897764,8068.633347985087,8040.712675235986,8024.337857073551,8017.327301498874,8554.118759799694,61.274398685988096,1,2
01/24/2020,00:00,8405.567383,8514.666992,8266.84082,8445.43457,24397913026,0,8445.43457,8358.107497505243,8263.835774435594,8187.5418624577005,8129.275920514555,8087.013895400448,8058.309279356161,8040.851453658903,8032.616846802486,8553.03732507532,56.66999185376666,1,2
01/25/2020,00:00,8440.119141,8458.453125,8296.21875,8367.847656,19647331549,0,8367.847656,8359.0351316476,8271.836688402087,8199.174494299139,8142.529905819301,8100.7131032345715,8071.767469645024,8053.674834142867,8044.589375702398,8551.19464180094,58.099287393772684,1,2
01/26/2020,00:00,8364.410156,8602.401367,8325.498047,8596.830078,22177678796,0,8596.830078,8381.68226939545,8296.83617990962,8224.829693247582,8167.768804273785,8124.91393127191,8094.596278703936,8074.9750397843245,8064.312257927312,8551.64872574322,59.56710932263868,1,2
01/27/2020,00:00,8597.308594,8977.726563,8597.308594,8909.819336,28647338393,0,8909.819336,8431.981037643502,8343.98873037811,8269.022573425158,8208.99383381413,8163.201999795231,8130.040759455939,8107.714031792782,8094.508939287051,8555.212612412442,66.09913122949979,1,2
01/28/2020,00:00,8912.524414,9358.589844,8908.447266,9358.589844,34398744403,0,9358.589844,8520.22949539174,8422.034969887487,8339.31723604289,8272.860278824455,8221.513601951561,8183.455937044811,8156.767985212673,8139.654685883943,8563.20641571182,62.384830313139666,1,2
01/29/2020,00:00,9357.470703,9406.431641,9269.467773,9316.629883,30682598115,0,9316.629883,8596.077151354431,8490.849963203835,8402.369664878834,8330.84747905643,8274.933908344168,8232.724369477646,8202.252765518058,8181.689514352374,8570.70316663011,61.77356315408623,1,2
01/30/2020,00:00,9316.016602,9553.125977,9230.897461,9508.993164,32378792851,0,9508.993164,8683.021533511152,8569.168670957386,8473.764729338263,8396.30001710885,8335.131920815184,8288.214317065575,8253.497487027154,8229.093216125504,8580.039385509413,67.26951414255964,1,2
01/31/2020,00:00,9508.313477,9521.706055,9230.776367,9350.529297,29432489719,0,9350.529297,8746.59370146247,8629.273334499127,8530.330185316441,8449.31275488058,8384.66350014127,8334.40192488881,8296.518342320207,8269.144504728165,8587.705951792903,59.46489558907305,1,2
02/01/2020,00:00,9346.357422,9439.323242,9313.239258,9392.875,25922656496,0,9392.875,8808.144301323187,8688.011924153041,8585.97823787667,8501.732879609437,8433.844548914867,8380.422493371907,8339.512721052748,8309.277736702159,8595.71758411337,59.97851298402364,1,2
02/02/2020,00:00,9389.820313,9468.797852,9217.824219,9344.365234,30835736946,0,9344.365234,8859.212961578121,8738.500640295115,8634.90643117495,8548.545788186691,8478.26019208975,8422.333047312259,8378.91870195264,8346.24514731994,8603.166814460501,65.43497414523543,1,2
02/03/2020,00:00,9344.683594,9540.37207,9248.633789,9293.521484,30934096509,0,9293.521484,8900.575677999253,8781.194551349337,8677.397724905599,8589.933326842985,8518.029035597567,8460.210805429117,8414.785477719204,8380.076445058514,8610.036015152436,65.36410527132689,1,2
02/04/2020,00:00,9292.841797,9331.265625,9112.811523,9180.962891,29893183716,0,9180.962891,8927.279222094563,8811.945962091697,8709.885800137496,8622.768302629487,8550.367272446465,8491.547852627851,8444.83165078904,8408.679532413567,8615.716879588732,60.39007987361441,1,2
02/05/2020,00:00,9183.416016,9701.299805,9163.704102,9613.423828,35222060874,0,9613.423828,8992.626327418891,8873.598105623105,8768.178576128626,8677.804720705626,8602.22368979054,8540.32506894838,8490.658794993391,8451.706114398798,8625.644311911234,68.94564318474062,1,2
02/06/2020,00:00,9617.821289,9824.619141,9539.818359,9729.801758,37628823716,0,9729.801758,9062.83351128376,8939.459925036712,8830.218781410651,8736.249000555314,8657.22749799588,8592.041446733232,8539.252636679925,8497.352387384555,8636.630953165848,78.72797190526435,1,2
02/07/2020,00:00,9726.00293,9834.716797,9726.00293,9795.943359,34522718159,0,9795.943359,9132.653496780546,9005.34326611081,8892.52359286803,8795.120909357795,8712.774613166814,8644.385008136134,8588.534625790517,8543.730636370821,8648.166399990068,78.97646676108212,1,2
02/08/2020,00:00,9793.070313,9876.749023,9678.910156,9865.119141,35172043762,0,9865.119141,9202.41212956335,9071.479871871517,8955.271692747514,8854.56525556014,8768.986541353797,8697.460405217173,8638.596763641868,8590.92308296472,8660.27538248768,82.2417745290056,1,2
02/09/2020,00:00,9863.894531,10129.435547,9850.392578,10116.673828,35807884663,0,10116.673828,9289.484672271603,9151.879406958325,9030.200862763804,8924.682398473464,8834.727384604832,8759.165336642513,8696.560570087284,8645.414181001695,8674.766909308699,82.41274518373604,1,2
02/10/2020,00:00,10115.55957,10165.765625,9784.563477,9856.611328,39386548075,0,9856.611328,9343.496734721926,9206.089554730763,9083.517666972592,8976.456227891606,8884.57538184362,8806.880379745011,8742.052756672096,8688.67122196592,8686.526555265827,70.65798115114421,1,1
02/11/2020,00:00,9855.891602,10210.052734,9729.334961,10208.236328,37648059389,0,10208.236328,9425.852886462695,9283.177768059166,9156.080161232425,9044.888455675404,8949.144208485395,8867.808899234358,8799.550151626132,8742.941404324281,8701.667946039302,69.35904339710005,1,1
02/12/2020,00:00,10202.387695,10393.611328,10202.387695,10326.054688,43444303830,0,10326.054688,9511.58639137101,9363.399069593077,9231.562388765817,9116.064357471214,9016.310573339766,8931.210890050255,8859.413074621185,8799.481164455556,8717.830998198115,72.23107130776006,1,1
02/13/2020,00:00,10323.960938,10457.626953,10116.161133,10214.379883,49356071373,0,10214.379883,9578.519104859486,9428.859132162841,9294.96996903899,9177.081886667258,9074.752978689046,8987.000846265462,8912.549027890944,8850.013261546428,8732.722031877736,66.1075639502389,1,1
02/14/2020,00:00,10211.550781,10321.996094,10125.53418,10312.116211,43338264162,0,10312.116211,9648.385495920487,9496.801984381085,9360.592307230023,9240.139349130188,9135.112160752995,9044.61455777566,8967.434015463848,8902.231224026913,8748.437396844127,72.58427718851243,1,1
02/15/2020,00:00,10313.856445,10341.555664,9874.427734,9889.424805,43865054831,0,9889.424805,9671.341620594727,9527.00373981331,9394.710532892603,9276.210763345178,9171.907899496751,9081.345438089762,9003.590517014287,8937.488137633094,8759.79050538299,59.89446003455452,1,2
02/16/2020,00:00,9889.179688,10053.96875,9722.386719,9934.433594,43374780305,0,9934.433594,9696.397999014276,9558.344497827671,9429.531375544693,9312.778698381557,9209.104274838373,9118.436227477165,9040.094167092158,8973.09333250334,8771.478496314505,61.774378121182636,1,1
