Mode,Date,Price,Holding,Balance,Profit Percentage,Profit to Initial Balance
Long,2015-11-17,335.093994,0.29245525659883953,98.0,0.0,0.0
Hold,2015-11-17,335.093994,0.29245525659883953,98.0,0.0,0.0
Hold,2015-11-18,334.589996,0.29245525659883953,97.85260313558469,-0.1504049636890951,0.0
Hold,2015-11-19,326.148987,0.29245525659883953,95.38398568253658,-2.669402364758596,0.0
Hold,2015-11-20,322.022003,0.29245525659883953,94.17702751783727,-3.900992328737475,0.0
Hold,2015-11-21,326.927002,0.29245525659883953,95.61152025899933,-2.4372242255108834,0.0
Hold,2015-11-22,324.536011,0.29245525659883953,94.9122623725688,-3.1507526810522406,0.0
Hold,2015-11-23,323.04599,0.29245525659883953,94.47649789867616,-3.5954103074733084,0.0
Hold,2015-11-24,320.04599,0.29245525659883953,93.59913212887963,-4.490681501143233,0.0
Hold,2015-11-25,328.205994,0.29245525659883953,95.98556819254718,-2.0555426606661458,0.0
Sell,2015-11-26,352.68399,0.0,101.14428679375256,5.249272238523017,1.1442867937525563
Long,2015-12-29,432.983002,0.22903188613836778,99.16691361391267,0.0,0.0
Hold,2015-12-29,432.983002,0.22903188613836778,99.16691361391267,0.0,0.0
Hold,2015-12-30,426.619995,0.22903188613836778,97.70958211919104,-1.4695743183008287,0.0
Hold,2015-12-31,430.566986,0.22903188613836778,98.61356891249218,-0.557993267366197,0.0
Hold,2016-01-01,434.334015,0.22903188613836778,99.47633866950012,0.3120244891276347,0.0
Hold,2016-01-02,433.437988,0.22903188613836778,99.27111991565923,0.10508172327744836,0.0
Hold,2016-01-03,430.010986,0.22903188613836778,98.48622718379926,-0.6864047748461075,0.0
Hold,2016-01-04,433.091003,0.22903188613836778,99.1916492866475,0.024943473416081368,0.0
Hold,2016-01-05,431.959991,0.22903188613836778,98.93261147504238,-0.2362704760405282,0.0
Hold,2016-01-06,429.105011,0.22903188613836778,98.27873002075505,-0.8956450904740192,0.0
Sell,2016-01-07,458.048004,0.0,102.90759829803463,5.788911316199889,2.907598298034628
Long,2016-01-15,364.330994,0.27712192724339285,100.964107211781,0.0,0.0
Hold,2016-01-15,364.330994,0.27712192724339285,100.96410721178098,-1.4075155129528854e-14,0.0
Sell,2016-01-16,387.536011,0.0,105.39472624453668,6.369212990975995,5.394726244536685
Long,2016-01-17,382.299011,0.2707229030437753,103.49709808868418,0.0,0.0
Hold,2016-01-17,382.299011,0.2707229030437753,103.49709808868418,0.0,0.0
Hold,2016-01-18,387.167999,0.2707229030437753,104.81524465492949,1.2736072707234896,0.0
Hold,2016-01-19,380.148987,0.2707229030437753,102.91503734979038,-0.5623932937666016,0.0
Sell,2016-01-20,420.230011,0.0,111.76588852403762,9.921814838281124,11.76588852403762
Long,2016-01-21,410.261993,0.2680639095296301,109.97643377499774,0.0,0.0
Hold,2016-01-21,410.261993,0.2680639095296301,109.97643377499774,0.0,0.0
Hold,2016-01-22,382.492004,0.2680639095296301,102.53230195606292,-6.768842708761468,0.0
Hold,2016-01-23,387.490997,0.2680639095296301,103.87235156335417,-5.550354746119514,0.0
Hold,2016-01-24,402.971008,0.2680639095296301,108.02198383157585,-1.7771534103574655,0.0
Hold,2016-01-25,391.726013,0.2680639095296301,105.00760650923472,-4.518083643200156,0.0
Hold,2016-01-26,392.153015,0.2680639095296301,105.12207033473167,-4.414003322018677,0.0
Hold,2016-01-27,394.971985,0.2680639095296301,105.87773445377843,-3.7268887347310224,0.0
Hold,2016-01-28,380.289001,0.2680639095296301,101.9417563591774,-7.305817382893679,0.0
Hold,2016-01-29,379.473999,0.2680639095296301,101.72328373678295,-7.504471417121988,0.0
Hold,2016-01-30,378.255005,0.2680639095296301,101.39651543944979,-7.801597161353429,0.0
Hold,2016-01-31,368.766998,0.2680639095296301,98.85312318938529,-10.114267396931407,0.0
Hold,2016-02-01,373.056,0.2680639095296301,100.00284983348568,-9.068837385577668,0.0
Hold,2016-02-02,374.447998,0.2680639095296301,100.37599425942311,-8.7295424901814,0.0
Hold,2016-02-03,369.949005,0.2680639095296301,99.16997660689668,-9.826157111268161,0.0
Hold,2016-02-04,389.593994,0.2680639095296301,104.43608916090325,-5.03775620277846,0.0
Hold,2016-02-05,386.549011,0.2680639095296301,103.619839113472,-5.779960709155917,0.0
Hold,2016-02-06,376.522003,0.2680639095296301,100.93196014810711,-8.224010650677076,0.0
Hold,2016-02-07,376.619995,0.2680639095296301,100.95822826672975,-8.200125425705714,0.0
Hold,2016-02-08,373.446991,0.2680639095296301,100.10766040953659,-8.973534626201653,0.0
Hold,2016-02-09,376.028992,0.2680639095296301,100.79980169200601,-8.344180446663987,0.0
Hold,2016-02-10,381.648987,0.2680639095296301,102.30631952324298,-6.97432530631713,0.0
Hold,2016-02-11,379.653992,0.2680639095296301,101.77153336405091,-7.460598720388906,0.0
Hold,2016-02-12,384.263,0.2680639095296301,103.00704206758425,-6.337168307959744,0.0
Hold,2016-02-13,391.859985,0.2680639095296301,105.0435195673222,-4.485428412570508,0.0
Hold,2016-02-14,407.230011,0.2680639095296301,109.16366882645427,-0.7390355557503538,0.0
Hold,2016-02-15,400.184998,0.2680639095296301,107.27515509898721,-2.4562341069697835,0.0
Hold,2016-02-16,407.488007,0.2680639095296301,109.23282824285728,-0.6761498864946069,0.0
Hold,2016-02-17,416.321991,0.2680639095296301,111.60090053061948,1.4771044121554784,0.0
Hold,2016-02-18,422.372986,0.2680639095296301,113.22295390686374,2.952014372922922,0.0
Hold,2016-02-19,420.785004,0.2680639095296301,112.79727324368105,2.5649490275839426,0.0
Sell,2016-02-20,437.164001,0.0,115.18789121367512,6.557275219008636,15.187891213675115
Long,2016-03-05,400.570007,0.2832253928562831,113.45159759901907,0.0,0.0
Hold,2016-03-05,400.570007,0.2832253928562831,113.45159759901907,0.0,0.0
Hold,2016-03-06,407.707001,0.2832253928562831,115.47297552848201,1.7817095327359416,0.0
Hold,2016-03-07,414.321014,0.2832253928562831,117.34623195876358,3.4328598646178863,0.0
Hold,2016-03-08,413.971985,0.2832253928562831,117.24737808312035,3.3457267807871798,0.0
Hold,2016-03-09,414.859985,0.2832253928562831,117.49888223197672,3.5674108770704955,0.0
Hold,2016-03-10,417.131012,0.2832253928562831,118.14209474623895,4.134359715054768,0.0
Sell,2016-03-11,421.690002,0.0,117.43331648001681,5.2724853660848465,17.433316480016813
Long,2016-03-12,411.623993,0.28115519078010265,115.73022228158264,0.0,0.0
Hold,2016-03-12,411.623993,0.28115519078010265,115.73022228158263,-1.2279294409912772e-14,0.0
Hold,2016-03-13,414.065002,0.28115519078010265,116.41652463267359,0.5930191246164769,0.0
Hold,2016-03-14,416.437988,0.28115519078010265,117.0837019642221,1.1695127305176298,0.0
Hold,2016-03-15,416.829987,0.28115519078010265,117.19391451785272,1.2647450315171562,0.0
Hold,2016-03-16,417.010986,0.28115519078010265,117.24480332622872,1.308716958100157,0.0
Hold,2016-03-17,420.621002,0.28115519078010265,118.25977806342793,2.185734833975035,0.0
Hold,2016-03-18,409.548004,0.28115519078010265,115.14654719823024,-0.5043411062775518,0.0
Hold,2016-03-19,410.444,0.28115519078010265,115.39846112454846,-0.2866676918903458,0.0
Hold,2016-03-20,413.755005,0.28115519078010265,116.32936736699732,0.5177084028724142,0.0
Hold,2016-03-21,413.307007,0.28115519078010265,116.20341040383822,0.4088716956788235,0.0
Hold,2016-03-22,418.088989,0.28115519078010265,117.54788946535524,1.5706071827547705,0.0
Hold,2016-03-23,418.040985,0.28115519078010265,117.53439289157703,1.5589450831647655,0.0
Hold,2016-03-24,416.394012,0.28115519078010265,117.07133788355235,1.1588291939046333,0.0
Hold,2016-03-25,417.177002,0.28115519078010265,117.29147958638127,1.3490489122192668,0.0
Hold,2016-03-26,417.945007,0.28115519078010265,117.50740817867633,1.535628172189651,0.0
Hold,2016-03-27,426.765015,0.28115519078010265,119.98719921059838,3.678362354353822,0.0
Hold,2016-03-28,424.230988,0.28115519078010265,119.27474436597144,3.062745421645042,0.0
Hold,2016-03-29,416.515991,0.28115519078010265,117.10563291256851,1.188462792060801,0.0
Hold,2016-03-30,414.81601,0.28115519078010265,116.62767443019096,0.7754691306344654,0.0
Hold,2016-03-31,416.729004,0.28115519078010265,117.16552262322216,1.2402122050256639,0.0
Hold,2016-04-01,417.959991,0.28115519078010265,117.51162100805499,1.5392683875937212,0.0
