date,time,open,high,Low,close,volume
2020-10-01,00:00:00,10795.254883,10933.624023,10472.356445,10619.452148,40023134100
2020-10-02,00:00:00,10619.821289,10657.837891,10416.689453,10575.974609,48661453918
2020-10-03,00:00:00,10575.100586,10598.94043,10511.129883,10549.329102,44660271563
2020-10-04,00:00:00,10550.44043,10686.0,10534.391602,10669.583008,71251776995
2020-10-05,00:00:00,10676.529297,10793.507813,10634.600586,10793.339844,47537578009
2020-10-06,00:00:00,10796.306641,10797.578125,10528.890625,10604.40625,42623695307
2020-10-07,00:00:00,10603.355469,10680.507813,10562.506836,10668.96875,37799458436
2020-10-08,00:00:00,10669.371094,10945.737305,10562.606445,10915.685547,63314794397
2020-10-09,00:00:00,10927.913086,11102.671875,10846.850586,11064.458008,22799117613
2020-10-10,00:00:00,11059.142578,11442.210938,11056.94043,11296.361328,22877978588
2020-10-11,00:00:00,11296.082031,11428.813477,11288.62793,11384.181641,19968627060
2020-10-12,00:00:00,11392.635742,11698.467773,11240.686523,11555.363281,26163972642
2020-10-13,00:00:00,11548.719727,11548.984375,11321.224609,11425.899414,24241420251
2020-10-14,00:00:00,11429.047852,11539.977539,11307.831055,11429.506836,24103426719
2020-10-15,00:00:00,11426.602539,11569.914063,11303.603516,11495.349609,24487233058
2020-10-16,00:00:00,11502.828125,11540.061523,11223.012695,11322.123047,25635480772
2020-10-17,00:00:00,11322.123047,11386.261719,11285.345703,11358.101563,19130430174
2020-10-18,00:00:00,11355.982422,11483.359375,11347.578125,11483.359375,18283314340
2020-10-19,00:00:00,11495.038086,11799.092773,11408.290039,11742.037109,23860769928
2020-10-20,00:00:00,11745.974609,11999.917969,11681.480469,11916.334961,30915821592
2020-10-21,00:00:00,11913.077148,13184.566406,11900.928711,12823.689453,43414712626
2020-10-22,00:00:00,12801.635742,13161.59375,12717.09375,12965.891602,34729759598
2020-10-23,00:00:00,12971.548828,13015.961914,12752.647461,12931.539063,28974975003
2020-10-24,00:00:00,12931.574219,13145.066406,12885.74707,13108.0625,24542317940
2020-10-25,00:00:00,13108.063477,13329.183594,12910.061523,13031.173828,24406920575
2020-10-26,00:00:00,13031.201172,13225.297852,12822.382813,13075.248047,29461458313
2020-10-27,00:00:00,13075.242188,13759.668945,13060.837891,13654.21875,33749878156
2020-10-28,00:00:00,13654.214844,13837.695313,12932.250977,13271.285156,35867318895
2020-10-29,00:00:00,13271.298828,13612.047852,12980.05957,13437.882813,56499499598
2020-10-30,00:00:00,13437.874023,13651.516602,13136.198242,13546.522461,30581485201
2020-10-31,00:00:00,13546.532227,14028.213867,13457.530273,13780.995117,30306464719
2020-11-01,00:00:00,13780.995117,13862.033203,13628.37793,13737.109375,24453857900
2020-11-02,00:00:00,13737.032227,13808.323242,13243.160156,13550.489258,30771455468
2020-11-03,00:00:00,13550.451172,13984.981445,13325.441406,13950.300781,29869951617
2020-11-04,00:00:00,13950.488281,14218.766602,13580.47168,14133.707031,35116364962
2020-11-05,00:00:00,14133.733398,15706.404297,14102.088867,15579.848633,40856321439
2020-11-06,00:00:00,15579.729492,15903.4375,15226.839844,15565.880859,39837841971
2020-11-07,00:00:00,15565.880859,15737.095703,14423.203125,14833.753906,35024953706
2020-11-08,00:00:00,14833.753906,15637.320313,14744.110352,15479.567383,26632075029
2020-11-09,00:00:00,15479.595703,15785.136719,14865.529297,15332.31543,34149115566
2020-11-10,00:00:00,15332.350586,15450.329102,15124.959961,15290.902344,25574938143
2020-11-11,00:00:00,15290.90918,15916.260742,15290.006836,15701.339844,29772374934
2020-11-12,00:00:00,15701.298828,16305.003906,15534.771484,16276.34375,34175758344
2020-11-13,00:00:00,16276.44043,16463.177734,15992.152344,16317.808594,31599492172
2020-11-14,00:00:00,16317.808594,16317.808594,15749.193359,16068.138672,27481710135
2020-11-15,00:00:00,16068.139648,16123.110352,15793.53418,15955.587891,23653867583
