date,time,open,high,low,close,volume,position
01/01/2020,00:00,7194.89209,7254.330566,7174.944336,7200.174316,18565664997,0
01/02/2020,00:00,7202.55127,7212.155273,6935.27002,6985.470215,20802083465,0
01/03/2020,00:00,6984.428711,7413.715332,6914.996094,7344.884277,28111481032,0
01/04/2020,00:00,7345.375488,7427.385742,7309.51416,7410.656738,18444271275,0
01/05/2020,00:00,7410.45166,7544.49707,7400.535645,7411.317383,19725074095,0
01/06/2020,00:00,7410.452148,7781.867188,7409.292969,7769.219238,23276261598,0
01/07/2020,00:00,7768.682129,8178.21582,7768.227539,8163.692383,28767291327,0
01/08/2020,00:00,8161.935547,8396.738281,7956.774414,8079.862793,31672559265,0
01/09/2020,00:00,8082.295898,8082.295898,7842.403809,7879.071289,24045990466,0
01/10/2020,00:00,7878.307617,8166.554199,7726.774902,8166.554199,28714583844,0
01/11/2020,00:00,8162.190918,8218.359375,8029.64209,8037.537598,25521165085,0
01/12/2020,00:00,8033.261719,8200.063477,8009.059082,8192.494141,22903438381,0
01/13/2020,00:00,8189.771973,8197.788086,8079.700684,8144.194336,22482910688,0
01/14/2020,00:00,8140.933105,8879.511719,8140.933105,8827.764648,44841784107,0
01/15/2020,00:00,8825.34375,8890.117188,8657.1875,8807.010742,40102834650,0
01/16/2020,00:00,8812.481445,8846.460938,8612.095703,8723.786133,31313981931,0
01/17/2020,00:00,8725.209961,8958.12207,8677.316406,8929.038086,36372139320,0
01/18/2020,00:00,8927.211914,9012.198242,8827.332031,8942.808594,32337772627,0
01/19/2020,00:00,8941.445313,9164.362305,8620.080078,8706.245117,34217320471,0
01/20/2020,00:00,8704.631836,8745.59082,8560.473633,8657.642578,26422375678,0
01/21/2020,00:00,8658.991211,8755.706055,8544.520508,8745.894531,24097418512,0
01/22/2020,00:00,8744.210938,8792.994141,8636.74707,8680.875977,22600204051,0
01/23/2020,00:00,8680.650391,8687.74707,8333.637695,8406.515625,25770680779,0
01/24/2020,00:00,8405.567383,8514.666992,8266.84082,8445.43457,24397913026,0
01/25/2020,00:00,8440.119141,8458.453125,8296.21875,8367.847656,19647331549,0
01/26/2020,00:00,8364.410156,8602.401367,8325.498047,8596.830078,22177678796,0
01/27/2020,00:00,8597.308594,8977.726563,8597.308594,8909.819336,28647338393,0
01/28/2020,00:00,8912.524414,9358.589844,8908.447266,9358.589844,34398744403,0
01/29/2020,00:00,9357.470703,9406.431641,9269.467773,9316.629883,30682598115,0
01/30/2020,00:00,9316.016602,9553.125977,9230.897461,9508.993164,32378792851,0
01/31/2020,00:00,9508.313477,9521.706055,9230.776367,9350.529297,29432489719,0
02/01/2020,00:00,9346.357422,9439.323242,9313.239258,9392.875,25922656496,0
02/02/2020,00:00,9389.820313,9468.797852,9217.824219,9344.365234,30835736946,0
02/03/2020,00:00,9344.683594,9540.37207,9248.633789,9293.521484,30934096509,0
02/04/2020,00:00,9292.841797,9331.265625,9112.811523,9180.962891,29893183716,0
02/05/2020,00:00,9183.416016,9701.299805,9163.704102,9613.423828,35222060874,0
02/06/2020,00:00,9617.821289,9824.619141,9539.818359,9729.801758,37628823716,0
02/07/2020,00:00,9726.00293,9834.716797,9726.00293,9795.943359,34522718159,0
02/08/2020,00:00,9793.070313,9876.749023,9678.910156,9865.119141,35172043762,0
02/09/2020,00:00,9863.894531,10129.435547,9850.392578,10116.673828,35807884663,0
02/10/2020,00:00,10115.55957,10165.765625,9784.563477,9856.611328,39386548075,0
02/11/2020,00:00,9855.891602,10210.052734,9729.334961,10208.236328,37648059389,0
02/12/2020,00:00,10202.387695,10393.611328,10202.387695,10326.054688,43444303830,0
02/13/2020,00:00,10323.960938,10457.626953,10116.161133,10214.379883,49356071373,0
02/14/2020,00:00,10211.550781,10321.996094,10125.53418,10312.116211,43338264162,0
02/15/2020,00:00,10313.856445,10341.555664,9874.427734,9889.424805,43865054831,0
02/16/2020,00:00,9889.179688,10053.96875,9722.386719,9934.433594,43374780305,0
02/17/2020,00:00,9936.560547,9938.81543,9507.637695,9690.142578,45998298413,0
02/18/2020,00:00,9691.230469,10161.935547,9632.382813,10141.996094,47271023953,0
02/19/2020,00:00,10143.798828,10191.675781,9611.223633,9633.386719,46992019710,0
02/20/2020,00:00,9629.325195,9643.216797,9507.900391,9608.475586,44925260237,0
02/21/2020,00:00,9611.782227,9723.014648,9589.743164,9686.441406,40930547513,0
