Mode,Date,Price,Holding,Balance,Profit Percentage,Profit to Initial Balance
Buy,2021-11-01,61320.449219,0.0015981618081433579,98.0,0.0,0.0
Hold,2021-11-01,61004.40625,0.0015981618081433579,97.49491219721196,-0.5153957171306532,0.0
Sell,2021-11-02,63226.402344,0.0,101.04602149248649,3.108185196414784,1.0460214924864886
Buy,2021-11-03,63254.335938,0.0015661649733005145,99.06672535547953,0.0,0.0
Hold,2021-11-03,62970.046875,0.0015661649733005145,98.62148178271651,-0.4494380642595771,0.0
Hold,2021-11-04,61452.230469,0.0015661649733005145,96.24433089173846,-2.848983302530213,0.0
Hold,2021-11-05,61125.675781,0.0015661649733005145,95.73289237752577,-3.365239908749403,0.0
Hold,2021-11-06,61527.480469,0.0015661649733005145,96.36218480597931,-2.730019125791797,0.0
Hold,2021-11-07,63326.988281,0.0015661649733005145,99.18051091031435,0.11485749067259973,0.0
Sell,2021-11-08,67566.828125,0.0,105.82079956639107,6.817702095911623,5.820799566391074
Buy,2021-11-09,67549.734375,0.0015385820968591391,103.93081195696537,0.0,0.0
Hold,2021-11-09,66971.828125,0.0015385820968591391,103.04165574705237,-0.8555270503237962,0.0
Hold,2021-11-10,64995.230469,0.0015385820968591391,100.00049798083703,-3.781663880154974,0.0
Hold,2021-11-11,64949.960938,0.0015385820968591391,99.9308470909072,-3.8486804738083156,0.0
Hold,2021-11-12,64155.941406,0.0015385820968591391,98.70918285441554,-5.024139621570498,0.0
Hold,2021-11-13,64469.527344,0.0015385820968591391,99.19166056444912,-4.559909908602069,0.0
Hold,2021-11-14,65466.839844,0.0015385820968591391,100.72610772192296,-3.0834977372921757,0.0
Hold,2021-11-15,63557.871094,0.0015385820968591391,97.78900257970939,-5.909517362184297,0.0
Hold,2021-11-16,60161.246094,0.0015385820968591391,92.56301616496522,-10.93784949616983,0.0
Hold,2021-11-17,60368.011719,0.0015385820968591391,92.8811420538361,-10.63175558342083,0.0
Hold,2021-11-18,56942.136719,0.0015385820968591391,87.6101521127588,-15.703389146006547,0.0
Hold,2021-11-19,58119.578125,0.0015385820968591391,89.42174238013105,-13.960315813603083,0.0
Hold,2021-11-20,59697.195313,0.0015385820968591391,91.84903594128511,-11.624825966608404,0.0
Hold,2021-11-21,58730.476563,0.0015385820968591391,90.36165977983705,-13.055947434286278,0.0
Hold,2021-11-22,56289.289063,0.0015385820968591391,86.60569239726074,-16.669858758419444,0.0
Hold,2021-11-23,57569.074219,0.0015385820968591391,88.57474692610843,-14.775276688125388,0.0
Hold,2021-11-24,56280.425781,0.0015385820968591391,86.59205551025613,-16.682979878853153,0.0
Hold,2021-11-25,57274.679688,0.0015385820968591391,88.12179677129858,-15.211095620240927,0.0
Hold,2021-11-26,53569.765625,0.0015385820968591391,82.42148232356513,-20.695816022592616,0.0
Hold,2021-11-27,54815.078125,0.0015385820968591391,84.33749784106003,-18.852266952382077,0.0
Hold,2021-11-28,57248.457031,0.0015385820968591391,88.0814510607063,-15.249915398353489,0.0
Hold,2021-11-29,57806.566406,0.0015385820968591391,88.94014815317054,-14.423695458091885,0.0
Hold,2021-11-30,57005.425781,0.0015385820968591391,87.70752753047901,-15.609696605857302,0.0
Hold,2021-12-01,57229.828125,0.0015385820968591391,88.05278895945064,-15.277493457945221,0.0
Hold,2021-12-02,56477.816406,0.0015385820968591391,86.89575719196897,-16.39076462911702,0.0
Hold,2021-12-03,53598.246094,0.0015385820968591391,82.46530186327868,-20.653653800544646,0.0
Hold,2021-12-04,49200.703125,0.0015385820968591391,75.6993209810065,-27.16373560869388,0.0
Hold,2021-12-05,49368.847656,0.0015385820968591391,75.95802514608788,-26.91481600515176,0.0
Hold,2021-12-06,50582.625,0.0015385820968591391,77.82552123713951,-25.117951287280693,0.0
Hold,2021-12-07,50700.085938,0.0015385820968591391,78.00624453342658,-24.944063204541667,0.0
Hold,2021-12-08,50504.796875,0.0015385820968591391,77.7057762773824,-25.233167321392596,0.0
Hold,2021-12-09,47672.121094,0.0015385820968591391,73.34747203452932,-29.426634264244655,0.0
Hold,2021-12-10,47243.304688,0.0015385820968591391,72.68770278941824,-30.061450092859822,0.0
Hold,2021-12-11,49362.507813,0.0015385820968591391,75.94827077715117,-26.92420144990394,0.0
Hold,2021-12-12,50098.335938,0.0015385820968591391,77.0804027566416,-25.834888321128208,0.0
Hold,2021-12-13,46737.480469,0.0015385820968591391,71.90945070190709,-30.81026757331345,0.0
Hold,2021-12-14,46612.632813,0.0015385820968591391,71.71736233355065,-30.995090884841098,0.0
Hold,2021-12-15,48896.722656,0.0015385820968591391,75.23162207360825,-27.613745474480268,0.0
Hold,2021-12-16,47665.425781,0.0015385820968591391,73.33717074581465,-29.436545943486554,0.0
Hold,2021-12-17,46202.144531,0.0015385820968591391,71.08579241189499,-31.602773928746487,0.0
Hold,2021-12-18,46848.777344,0.0015385820968591391,72.08069008121845,-30.645504712245586,0.0
Hold,2021-12-19,46707.015625,0.0015385820968591391,71.86257803834508,-30.85536744569915,0.0
Hold,2021-12-20,46880.277344,0.0015385820968591391,72.12915541726952,-30.598872404522314,0.0
Hold,2021-12-21,48936.613281,0.0015385820968591391,75.29299707506577,-27.554691763360474,0.0
Hold,2021-12-22,48628.511719,0.0015385820968591391,74.81895752775824,-28.01080245698597,0.0
Hold,2021-12-23,50784.539063,0.0015385820968591391,78.13618259957539,-24.81903958190066,0.0
Hold,2021-12-24,50822.195313,0.0015385820968591391,78.19411983166025,-24.763293618798933,0.0
Hold,2021-12-25,50429.859375,0.0015385820968591391,77.59047878149902,-25.344104101075526,0.0
Hold,2021-12-26,50809.515625,0.0015385820968591391,78.17461109070969,-24.782064511264043,0.0
Hold,2021-12-27,50640.417969,0.0015385820968591391,77.91444046456725,-25.03239511221246,0.0
Hold,2021-12-28,47588.855469,0.0015385820968591391,73.21936103462053,-29.54989992290403,0.0
Hold,2021-12-29,46444.710938,0.0015385820968591391,71.45900074300462,-31.24368087050677,0.0
Hold,2021-12-30,47178.125,0.0015385820968591391,72.58741848838257,-30.15794149819705,0.0
Hold,2021-12-31,46306.445313,0.0015385820968591391,71.24626772776858,-31.448368018841688,0.0
Hold,2022-01-01,47686.8125,0.0015385820968591391,73.37007596877861,-29.404885243118322,0.0
Hold,2022-01-02,47345.21875,0.0015385820968591391,72.84450594062963,-29.91057746109753,0.0
Hold,2022-01-03,46458.117188,0.0015385820968591391,71.47962735924065,-31.22383438239834,0.0
Hold,2022-01-04,45897.574219,0.0015385820968591391,70.61718598261699,-32.05365699263714,0.0
Hold,2022-01-05,43569.003906,0.0015385820968591391,67.0344893877575,-35.50085087806831,0.0
Hold,2022-01-06,43160.929688,0.0015385820968591391,66.40663370175291,-36.1049601640273,0.0
Hold,2022-01-07,41557.902344,0.0015385820968591391,63.940244529498855,-38.47806697019303,0.0
Hold,2022-01-08,41733.941406,0.0015385820968591391,64.21109507863993,-38.21746037620892,0.0
Hold,2022-01-09,41911.601563,0.0015385820968591391,64.4844398155253,-37.954453928228354,0.0
Hold,2022-01-10,41821.261719,0.0015385820968591391,64.34544454891387,-38.08819219505627,0.0
Hold,2022-01-11,42735.855469,0.0015385820968591391,65.75262211856314,-36.734236093730004,0.0
Hold,2022-01-12,43949.101563,0.0015385820968591391,67.6193008378758,-34.938157833429685,0.0
Hold,2022-01-13,42591.570313,0.0015385820968591391,65.53062756069899,-36.94783449990437,0.0
Hold,2022-01-14,43099.699219,0.0015385820968591391,66.31242559836723,-36.19560518220024,0.0
Hold,2022-01-15,43177.398438,0.0015385820968591391,66.43197222566056,-36.08057997933467,0.0
