unix,date,trade,price,open,high,low,close,position_size,balance
1428876000,2015-04-13 00:00:00,SHORT,235.949997,235.949997,236.934998,221.996002,224.587006,0.4195804249151993,99.0
1434405600,2015-06-16 00:00:00,COVER,250.895004,236.764999,251.742004,236.121994,250.895004,0.4195804249151993,91.80207393645357
1438466400,2015-08-02 00:00:00,LONG,280.449005,280.449005,283.032013,277.528992,282.614014,0.3237739208112133,90.80207393645357
1445986800,2015-10-28 00:00:00,CLOSE,304.618011,293.703003,306.330994,293.703003,304.618011,0.3237739208112133,97.64109409347148
1446073200,2015-10-29 00:00:00,LONG,304.324005,304.324005,318.170013,301.822998,313.855011,0.31755987863484997,96.64109409347148
1446159600,2015-10-30 00:00:00,CLOSE,328.015015,313.942993,334.169006,313.940002,328.015015,0.31755987863484997,103.12276427027041
1446246000,2015-10-31 00:00:00,LONG,328.511993,328.511993,332.777008,309.251007,314.165985,0.31086464557252985,102.12276427027041
1446418800,2015-11-02 00:00:00,CLOSE,361.188995,325.941986,365.359985,323.209015,361.188995,0.31086464557252985,111.15808002621952
1446505200,2015-11-03 00:00:00,LONG,361.872986,361.872986,417.899994,357.647003,403.416992,0.3044108963309561,110.15808002621952
1446591600,2015-11-04 00:00:00,CLOSE,411.562988,403.664001,495.562012,380.548004,411.562988,0.3044108963309561,124.03141549298927
1446678000,2015-11-05 00:00:00,LONG,408.076996,408.076996,447.561005,374.580994,386.354004,0.301490690969969,123.03141549298927
1449788400,2015-12-11 00:00:00,CLOSE,451.937988,415.281006,451.937988,415.281006,451.937988,0.301490690969969,134.8925453149206
1449874800,2015-12-12 00:00:00,LONG,452.334991,452.334991,469.102997,410.740997,434.997009,0.2960030684756833,133.8925453149206
1464386400,2016-05-28 00:00:00,CLOSE,530.039978,473.028992,533.473022,472.699005,530.039978,0.2960030684756833,155.32452530375585
1464472800,2016-05-29 00:00:00,LONG,527.47699,527.47699,553.960022,512.179016,526.232971,0.29257110400921155,154.32452530375585
1464904800,2016-06-03 00:00:00,CLOSE,569.19397,537.682007,574.638,536.919983,569.19397,0.29257110400921155,164.8644111163032
1464991200,2016-06-04 00:00:00,LONG,569.705017,569.705017,590.132019,564.237976,572.72699,0.28763027571565725,163.8644111163032
1465596000,2016-06-11 00:00:00,CLOSE,606.72699,578.674011,607.116028,578.674011,606.72699,0.28763027571565725,172.7679209036525
1465682400,2016-06-12 00:00:00,LONG,609.684021,609.684021,684.843994,607.039001,672.783997,0.2817326926526954,171.7679209036525
1465768800,2016-06-13 00:00:00,CLOSE,704.375977,671.653992,716.004028,664.487,704.375977,0.2817326926526954,196.46128323368222
1465855200,2016-06-14 00:00:00,LONG,704.504028,704.504028,704.504028,662.804016,685.559021,0.2774452316313545,195.46128323368222
1466028000,2016-06-16 00:00:00,CLOSE,766.307983,696.52301,773.721985,696.52301,766.307983,0.2774452316313545,210.48241088594716
1466114400,2016-06-17 00:00:00,LONG,768.487,768.487,775.356018,716.55603,748.908997,0.27259070210159336,209.48241088594716
1482274800,2016-12-21 00:00:00,CLOSE,834.281006,800.643982,834.281006,799.405029,834.281006,0.27259070210159336,225.143072723808
1482361200,2016-12-22 00:00:00,LONG,834.179993,834.179993,875.781982,834.148987,864.539978,0.2686986916549172,224.143072723808
1482447600,2016-12-23 00:00:00,CLOSE,921.984009,864.888,925.117004,864.677002,921.984009,0.2686986916549172,245.25853797560487
1482534000,2016-12-24 00:00:00,LONG,922.179993,922.179993,923.479004,886.335022,898.822021,0.26487078426088223,244.25853797560487
1482879600,2016-12-28 00:00:00,CLOSE,975.921021,934.830994,975.921021,934.830994,975.921021,0.26487078426088223,255.9080365468614
1482966000,2016-12-29 00:00:00,LONG,975.125,975.125,979.396973,954.502991,973.497009,0.26141062586525976,254.9080365468614
1483398000,2017-01-03 00:00:00,CLOSE,1043.839966,1021.599976,1044.079956,1021.599976,1043.839966,0.26141062586525976,270.1421502270792
1483484400,2017-01-04 00:00:00,LONG,1044.400024,1044.400024,1159.420044,1044.400024,1154.72998,0.2577002528171899,269.1421502270792
1487631600,2017-02-21 00:00:00,CLOSE,1115.300049,1079.280029,1117.25,1076.930054,1115.300049,0.2577002528171899,284.538973548381
1487718000,2017-02-22 00:00:00,LONG,1114.800049,1114.800049,1125.390015,1100.550049,1117.439941,0.2543406540058208,283.538973548381
1487890800,2017-02-24 00:00:00,CLOSE,1173.680054,1172.709961,1200.390015,1131.959961,1173.680054,0.2543406540058208,295.5294070026676
1487977200,2017-02-25 00:00:00,LONG,1170.410034,1170.410034,1174.849976,1124.589966,1143.839966,0.2516463448250544,294.5294070026676
1488409200,2017-03-02 00:00:00,CLOSE,1251.01001,1224.680054,1262.130005,1215.619995,1251.01001,0.2516463448250544,311.6639753924942
1488495600,2017-03-03 00:00:00,LONG,1250.709961,1250.709961,1280.310059,1250.709961,1274.98999,0.24839010248555476,310.6639753924942
1493244000,2017-04-27 00:00:00,CLOSE,1317.72998,1281.880005,1319.699951,1281.300049,1317.72998,0.24839010248555476,324.03797393268314
1493330400,2017-04-28 00:00:00,LONG,1317.73999,1317.73999,1331.280029,1292.369995,1316.47998,0.24514545842437638,323.03797393268314
1493589600,2017-05-01 00:00:00,CLOSE,1421.599976,1348.300049,1434.319946,1348.300049,1421.599976,0.24514545842437638,345.0137900344764
1493676000,2017-05-02 00:00:00,LONG,1421.030029,1421.030029,1473.900024,1415.689941,1452.819946,0.24208762870167075,344.0137900344764
1493848800,2017-05-04 00:00:00,CLOSE,1537.670044,1490.719971,1608.910034,1490.719971,1537.670044,0.24208762870167075,368.5283857307782
1493935200,2017-05-05 00:00:00,LONG,1540.869995,1540.869995,1618.030029,1530.310059,1555.449951,0.2385200483644814,367.5283857307782
1494194400,2017-05-08 00:00:00,CLOSE,1723.349976,1596.920044,1723.349976,1596.920044,1723.349976,0.2385200483644814,406.9429844282034
1494280800,2017-05-09 00:00:00,LONG,1723.890015,1723.890015,1833.48999,1716.300049,1755.359985,0.23548079105742914,405.9429844282034
1494453600,2017-05-11 00:00:00,CLOSE,1848.569946,1780.369995,1873.930054,1755.349976,1848.569946,0.23548079105742914,430.9496860769784
1494540000,2017-05-12 00:00:00,LONG,1845.76001,1845.76001,1856.150024,1694.01001,1724.23999,0.23293910570582707,429.9496860769784
