date,time,open,high,low,close,volume,prevOpen,prevClose,signal,position
10/01/2020,00:00,10795.254883,10933.624023,10472.356445,10619.452148,40023134100,10843.871094,10784.491211,-1,0
10/02/2020,00:00,10619.821289,10657.837891,10416.689453,10575.974609,48661453918,10795.254883,10619.452148,-1,0
10/03/2020,00:00,10575.100586,10598.94043,10511.129883,10549.329102,44660271563,10619.821289,10575.974609,-1,0
10/04/2020,00:00,10550.44043,10686.0,10534.391602,10669.583008,71251776995,10575.100586,10549.329102,1,0
10/05/2020,00:00,10676.529297,10793.507813,10634.600586,10793.339844,47537578009,10550.44043,10669.583008,1,0
10/06/2020,00:00,10796.306641,10797.578125,10528.890625,10604.40625,42623695307,10676.529297,10793.339844,-1,0
10/07/2020,00:00,10603.355469,10680.507813,10562.506836,10668.96875,37799458436,10796.306641,10604.40625,1,0
10/08/2020,00:00,10669.371094,10945.737305,10562.606445,10915.685547,63314794397,10603.355469,10668.96875,1,0
10/09/2020,00:00,10927.913086,11102.671875,10846.850586,11064.458008,22799117613,10669.371094,10915.685547,1,0
10/10/2020,00:00,11059.142578,11442.210938,11056.94043,11296.361328,22877978588,10927.913086,11064.458008,1,0
10/11/2020,00:00,11296.082031,11428.813477,11288.62793,11384.181641,19968627060,11059.142578,11296.361328,1,0
10/12/2020,00:00,11392.635742,11698.467773,11240.686523,11555.363281,26163972642,11296.082031,11384.181641,1,0
10/13/2020,00:00,11548.719727,11548.984375,11321.224609,11425.899414,24241420251,11392.635742,11555.363281,-1,0
10/14/2020,00:00,11429.047852,11539.977539,11307.831055,11429.506836,24103426719,11548.719727,11425.899414,1,0
10/15/2020,00:00,11426.602539,11569.914063,11303.603516,11495.349609,24487233058,11429.047852,11429.506836,1,0
10/16/2020,00:00,11502.828125,11540.061523,11223.012695,11322.123047,25635480772,11426.602539,11495.349609,-1,0
10/17/2020,00:00,11322.123047,11386.261719,11285.345703,11358.101563,19130430174,11502.828125,11322.123047,1,0
10/18/2020,00:00,11355.982422,11483.359375,11347.578125,11483.359375,18283314340,11322.123047,11358.101563,1,0
10/19/2020,00:00,11495.038086,11799.092773,11408.290039,11742.037109,23860769928,11355.982422,11483.359375,1,0
10/20/2020,00:00,11745.974609,11999.917969,11681.480469,11916.334961,30915821592,11495.038086,11742.037109,1,0
10/21/2020,00:00,11913.077148,13184.566406,11900.928711,12823.689453,43414712626,11745.974609,11916.334961,1,0
10/22/2020,00:00,12801.635742,13161.59375,12717.09375,12965.891602,34729759598,11913.077148,12823.689453,1,0
10/23/2020,00:00,12971.548828,13015.961914,12752.647461,12931.539063,28974975003,12801.635742,12965.891602,-1,0
10/24/2020,00:00,12931.574219,13145.066406,12885.74707,13108.0625,24542317940,12971.548828,12931.539063,1,0
10/25/2020,00:00,13108.063477,13329.183594,12910.061523,13031.173828,24406920575,12931.574219,13108.0625,-1,0
10/26/2020,00:00,13031.201172,13225.297852,12822.382813,13075.248047,29461458313,13108.063477,13031.173828,1,0
10/27/2020,00:00,13075.242188,13759.668945,13060.837891,13654.21875,33749878156,13031.201172,13075.248047,1,0
10/28/2020,00:00,13654.214844,13837.695313,12932.250977,13271.285156,35867318895,13075.242188,13654.21875,-1,0
10/29/2020,00:00,13271.298828,13612.047852,12980.05957,13437.882813,56499499598,13654.214844,13271.285156,1,0
10/30/2020,00:00,13437.874023,13651.516602,13136.198242,13546.522461,30581485201,13271.298828,13437.882813,1,0
10/31/2020,00:00,13546.532227,14028.213867,13457.530273,13780.995117,30306464719,13437.874023,13546.522461,1,0
11/01/2020,00:00,13780.995117,13862.033203,13628.37793,13737.109375,24453857900,13546.532227,13780.995117,-1,0
11/02/2020,00:00,13737.032227,13808.323242,13243.160156,13550.489258,30771455468,13780.995117,13737.109375,-1,0
11/03/2020,00:00,13550.451172,13984.981445,13325.441406,13950.300781,29869951617,13737.032227,13550.489258,1,0
11/04/2020,00:00,13950.488281,14218.766602,13580.47168,14133.707031,35116364962,13550.451172,13950.300781,1,0
